"Warning Type","Code","Warning"
"Bad practice Warning","CN","org.jfree.chart.labels.AbstractPieItemLabelGenerator defines clone() but doesn't implement Cloneable"
"Bad practice Warning","CN","org.jfree.chart.urls.CustomPieURLGenerator.clone() does not call super.clone()"
"Bad practice Warning","CN","org.jfree.data.time.TimePeriodValues.clone() does not call super.clone()"
"Bad practice Warning","CN","org.jfree.data.time.TimeSeries.clone() does not call super.clone()"
"Bad practice Warning","CN","org.jfree.data.xy.XYSeries.clone() does not call super.clone()"
"Bad practice Warning","Co","org.jfree.data.KeyedValueComparator.compare(Object, Object) incorrectly handles double value"
"Bad practice Warning","Eq","org.jfree.chart.plot.PieLabelRecord defines compareTo(Object) and uses Object.equals()"
"Bad practice Warning","Eq","org.jfree.chart.renderer.Outlier defines compareTo(Object) and uses Object.equals()"
"Bad practice Warning","HE","org.jfree.chart.ChartRenderingInfo defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.JFreeChart defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.LegendItem defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.LegendItemCollection defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.LegendRenderingOrder defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.PaintMap defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.StrokeMap defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.axis.Axis defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.axis.AxisLocation defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.axis.CategoryAnchor defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.axis.CategoryLabelWidthType defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.axis.CyclicNumberAxis defines equals but not hashCode"
"Bad practice Warning","HE","org.jfree.chart.axis.CyclicNumberAxis$CycleBoundTick inherits equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.axis.DateAxis$DefaultTimeline defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.axis.DateTickMarkPosition defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.axis.ExtendedCategoryAxis defines equals but not hashCode"
"Bad practice Warning","HE","org.jfree.chart.axis.MonthDateFormat defines equals but not hashCode"
"Bad practice Warning","HE","org.jfree.chart.axis.NumberTick inherits equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.axis.QuarterDateFormat defines equals but not hashCode"
"Bad practice Warning","HE","org.jfree.chart.axis.SegmentedTimeline$Segment defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.axis.SubCategoryAxis defines equals but not hashCode"
"Bad practice Warning","HE","org.jfree.chart.axis.SymbolAxis defines equals but not hashCode"
"Bad practice Warning","HE","org.jfree.chart.axis.Tick defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.axis.TickUnits defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.axis.ValueAxis defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.axis.ValueTick defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.block.AbstractBlock defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.block.BlockBorder defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.block.BlockContainer defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.block.BorderArrangement defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.block.CenterArrangement defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.block.ColorBlock defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.block.ColumnArrangement defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.block.FlowArrangement defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.block.GridArrangement defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.block.LabelBlock defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.block.LineBorder defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.entity.CategoryItemEntity defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.entity.ChartEntity defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.entity.LegendItemEntity defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.entity.StandardEntityCollection defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.entity.XYAnnotationEntity defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.entity.XYItemEntity defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.labels.AbstractCategoryItemLabelGenerator defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.labels.AbstractPieItemLabelGenerator defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.labels.AbstractXYItemLabelGenerator defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.labels.BoxAndWhiskerToolTipGenerator defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.labels.BoxAndWhiskerXYToolTipGenerator defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.labels.BubbleXYItemLabelGenerator defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.labels.CustomXYToolTipGenerator defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.labels.HighLowItemLabelGenerator defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.labels.ItemLabelAnchor defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.labels.ItemLabelPosition defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.labels.MultipleXYSeriesLabelGenerator defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.labels.StandardCategoryItemLabelGenerator defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.jfree.chart.labels.StandardCategorySeriesLabelGenerator defines equals and uses Object.hashCode()"
