"Bug Id","Warning Type","Code","Warning"
"Chart/1_buggy","Bad practice Warning","CN","org.jfree.chart.labels.AbstractPieItemLabelGenerator defines clone() but doesn't implement Cloneable"
"Chart/1_buggy","Bad practice Warning","CN","Class org.jfree.chart.plot.PieSelectionAttributes implements Cloneable but does not define or use clone method"
"Chart/1_buggy","Bad practice Warning","CN","Class org.jfree.chart.renderer.RenderAttributes implements Cloneable but does not define or use clone method"
"Chart/1_buggy","Bad practice Warning","CN","org.jfree.chart.urls.CustomPieURLGenerator.clone() does not call super.clone()"
"Chart/1_buggy","Bad practice Warning","CN","Class org.jfree.data.SelectableValue implements Cloneable but does not define or use clone method"
"Chart/1_buggy","Bad practice Warning","CN","org.jfree.data.time.TimePeriodValues.clone() does not call super.clone()"
"Chart/1_buggy","Bad practice Warning","Co","org.jfree.data.KeyedValueComparator.compare(Object, Object) incorrectly handles double value"
"Chart/1_buggy","Bad practice Warning","HE","org.jfree.chart.ChartRenderingInfo defines equals and uses Object.hashCode()"
"Chart/1_buggy","Bad practice Warning","HE","org.jfree.chart.JFreeChart defines equals and uses Object.hashCode()"
"Chart/1_buggy","Bad practice Warning","HE","org.jfree.chart.LegendItem defines equals and uses Object.hashCode()"
"Chart/1_buggy","Bad practice Warning","HE","org.jfree.chart.LegendItemCollection defines equals and uses Object.hashCode()"
"Chart/1_buggy","Bad practice Warning","HE","org.jfree.chart.LegendRenderingOrder defines equals and uses Object.hashCode()"
"Chart/1_buggy","Bad practice Warning","HE","org.jfree.chart.StandardChartTheme defines equals and uses Object.hashCode()"
"Chart/1_buggy","Bad practice Warning","HE","org.jfree.chart.axis.Axis defines equals and uses Object.hashCode()"
"Chart/1_buggy","Bad practice Warning","HE","org.jfree.chart.axis.AxisLocation defines equals and uses Object.hashCode()"
"Chart/1_buggy","Bad practice Warning","HE","org.jfree.chart.axis.CategoryAnchor defines equals and uses Object.hashCode()"
"Chart/1_buggy","Bad practice Warning","HE","org.jfree.chart.axis.CategoryLabelWidthType defines equals and uses Object.hashCode()"
"Chart/1_buggy","Bad practice Warning","HE","org.jfree.chart.axis.CyclicNumberAxis defines equals but not hashCode"
"Chart/1_buggy","Bad practice Warning","HE","org.jfree.chart.axis.CyclicNumberAxis$CycleBoundTick inherits equals and uses Object.hashCode()"
"Chart/1_buggy","Bad practice Warning","HE","org.jfree.chart.axis.DateAxis$DefaultTimeline defines equals and uses Object.hashCode()"
"Chart/1_buggy","Bad practice Warning","HE","org.jfree.chart.axis.DateTickMarkPosition defines equals and uses Object.hashCode()"
"Chart/1_buggy","Bad practice Warning","HE","org.jfree.chart.axis.DateTickUnitType defines equals and uses Object.hashCode()"
"Chart/1_buggy","Bad practice Warning","HE","org.jfree.chart.axis.ExtendedCategoryAxis defines equals but not hashCode"
"Chart/1_buggy","Bad practice Warning","HE","org.jfree.chart.axis.ModuloAxis defines equals but not hashCode"
"Chart/1_buggy","Bad practice Warning","HE","org.jfree.chart.axis.MonthDateFormat defines equals but not hashCode"
"Chart/1_buggy","Bad practice Warning","HE","org.jfree.chart.axis.NumberTick inherits equals and uses Object.hashCode()"
"Chart/1_buggy","Bad practice Warning","HE","org.jfree.chart.axis.QuarterDateFormat defines equals but not hashCode"
"Chart/1_buggy","Bad practice Warning","HE","org.jfree.chart.axis.SegmentedTimeline$Segment defines equals and uses Object.hashCode()"
"Chart/1_buggy","Bad practice Warning","HE","org.jfree.chart.axis.SubCategoryAxis defines equals but not hashCode"
"Chart/1_buggy","Bad practice Warning","HE","org.jfree.chart.axis.SymbolAxis defines equals but not hashCode"
"Chart/1_buggy","Bad practice Warning","HE","org.jfree.chart.axis.Tick defines equals and uses Object.hashCode()"
"Chart/1_buggy","Bad practice Warning","HE","org.jfree.chart.axis.TickType defines equals and uses Object.hashCode()"
"Chart/1_buggy","Bad practice Warning","HE","org.jfree.chart.axis.TickUnits defines equals and uses Object.hashCode()"
"Chart/1_buggy","Bad practice Warning","HE","org.jfree.chart.axis.ValueAxis defines equals and uses Object.hashCode()"
"Chart/1_buggy","Bad practice Warning","HE","org.jfree.chart.axis.ValueTick defines equals and uses Object.hashCode()"
"Chart/1_buggy","Bad practice Warning","HE","org.jfree.chart.block.AbstractBlock defines equals and uses Object.hashCode()"
"Chart/1_buggy","Bad practice Warning","HE","org.jfree.chart.block.BlockBorder defines equals and uses Object.hashCode()"
"Chart/1_buggy","Bad practice Warning","HE","org.jfree.chart.block.BlockContainer defines equals and uses Object.hashCode()"
"Chart/1_buggy","Bad practice Warning","HE","org.jfree.chart.block.BorderArrangement defines equals and uses Object.hashCode()"
"Chart/1_buggy","Bad practice Warning","HE","org.jfree.chart.block.CenterArrangement defines equals and uses Object.hashCode()"
"Chart/1_buggy","Bad practice Warning","HE","org.jfree.chart.block.ColorBlock defines equals and uses Object.hashCode()"
"Chart/1_buggy","Bad practice Warning","HE","org.jfree.chart.block.ColumnArrangement defines equals and uses Object.hashCode()"
"Chart/1_buggy","Bad practice Warning","HE","org.jfree.chart.block.FlowArrangement defines equals and uses Object.hashCode()"
