"Warning Type","Code","Warning"
"Bad practice Warning","ES","Comparison of String objects using == or != in org.apache.commons.cli2.option.GroupImpl.process(WriteableCommandLine, ListIterator)"
"Bad practice Warning","RV","org.apache.commons.cli2.option.ReverseStringComparator.compare(Object, Object) negates the return value of String.compareTo(String)"
"Bad practice Warning","RV","org.apache.commons.cli2.util.Comparators$Reverse.compare(Object, Object) negates the return value of java.util.Comparator.compare(Object, Object)"
"Bad practice Warning","Se","org.apache.commons.cli2.util.Comparators$CommandFirst implements Comparator but not Serializable"
"Bad practice Warning","Se","org.apache.commons.cli2.util.Comparators$DefaultOptionFirst implements Comparator but not Serializable"
"Bad practice Warning","Se","org.apache.commons.cli2.util.Comparators$GroupFirst implements Comparator but not Serializable"
"Bad practice Warning","Se","org.apache.commons.cli2.util.Comparators$Named implements Comparator but not Serializable"
"Bad practice Warning","Se","org.apache.commons.cli2.util.Comparators$PreferredName implements Comparator but not Serializable"
"Bad practice Warning","Se","org.apache.commons.cli2.util.Comparators$Required implements Comparator but not Serializable"
"Bad practice Warning","Se","org.apache.commons.cli2.util.Comparators$SwitchFirst implements Comparator but not Serializable"
"Dodgy code Warning","Dm","Found reliance on default encoding in new org.apache.commons.cli2.util.HelpFormatter(String, String, String, int): new java.io.PrintWriter(OutputStream)"
"Internationalization Warning","EI","org.apache.commons.cli2.OptionException.getOption() may expose internal representation by returning OptionException.option"
"Internationalization Warning","EI","org.apache.commons.cli2.option.ArgumentImpl.getDefaultValues() may expose internal representation by returning ArgumentImpl.defaultValues"
"Internationalization Warning","EI","org.apache.commons.cli2.option.HelpLineImpl.getOption() may expose internal representation by returning HelpLineImpl.option"
"Internationalization Warning","EI","org.apache.commons.cli2.option.ParentImpl.getChildren() may expose internal representation by returning ParentImpl.children"
"Internationalization Warning","EI","org.apache.commons.cli2.util.HelpFormatter.getDisplaySettings() may expose internal representation by returning HelpFormatter.displaySettings"
"Internationalization Warning","EI","org.apache.commons.cli2.util.HelpFormatter.getException() may expose internal representation by returning HelpFormatter.exception"
"Internationalization Warning","EI","org.apache.commons.cli2.util.HelpFormatter.getFullUsageSettings() may expose internal representation by returning HelpFormatter.fullUsageSettings"
"Internationalization Warning","EI","org.apache.commons.cli2.util.HelpFormatter.getGroup() may expose internal representation by returning HelpFormatter.group"
"Internationalization Warning","EI","org.apache.commons.cli2.util.HelpFormatter.getLineUsageSettings() may expose internal representation by returning HelpFormatter.lineUsageSettings"
"Internationalization Warning","EI","org.apache.commons.cli2.util.HelpFormatter.getPrintWriter() may expose internal representation by returning HelpFormatter.out"
"Internationalization Warning","EI","org.apache.commons.cli2.validation.ClassValidator.getClassLoader() may expose internal representation by returning ClassValidator.loader"
"Internationalization Warning","EI","org.apache.commons.cli2.validation.DateValidator.getFormats() may expose internal representation by returning DateValidator.formats"
"Internationalization Warning","EI","org.apache.commons.cli2.validation.DateValidator.getMaximum() may expose internal representation by returning DateValidator.maximum"
"Internationalization Warning","EI","org.apache.commons.cli2.validation.DateValidator.getMinimum() may expose internal representation by returning DateValidator.minimum"
"Internationalization Warning","EI","org.apache.commons.cli2.validation.EnumValidator.getValidValues() may expose internal representation by returning EnumValidator.validValues"
"Internationalization Warning","EI","org.apache.commons.cli2.validation.NumberValidator.getFormat() may expose internal representation by returning NumberValidator.format"
"Internationalization Warning","EI2","new org.apache.commons.cli2.OptionException(Option, String, String) may expose internal representation by storing an externally mutable object into OptionException.option"
"Internationalization Warning","EI2","org.apache.commons.cli2.builder.ArgumentBuilder.withDefaults(List) may expose internal representation by storing an externally mutable object into ArgumentBuilder.defaultValues"
"Internationalization Warning","EI2","org.apache.commons.cli2.builder.CommandBuilder.withChildren(Group) may expose internal representation by storing an externally mutable object into CommandBuilder.children"
