"Bug Id","Warning Type","Code","Warning"
"Cli/1_buggy","Bad practice Warning","Se","org.apache.commons.cli.HelpFormatter$OptionComparator implements Comparator but not Serializable"
"Cli/1_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.cli.HelpFormatter.printHelp(int, String, String, Options, String, boolean): new java.io.PrintWriter(OutputStream)"
"Cli/1_buggy","Internationalization Warning","EI","org.apache.commons.cli.CommandLine.getArgList() may expose internal representation by returning CommandLine.args"
"Cli/1_buggy","Internationalization Warning","EI","org.apache.commons.cli.Option.getValuesList() may expose internal representation by returning Option.values"
"Cli/1_buggy","Internationalization Warning","EI","org.apache.commons.cli.Options.getRequiredOptions() may expose internal representation by returning Options.requiredOpts"
"Cli/1_buggy","Internationalization Warning","EI","org.apache.commons.cli.Parser.parse(Options, String[], Properties, boolean) may expose internal representation by returning Parser.cmd"
"Cli/1_buggy","Malicious code vulnerability Warning","Bx","org.apache.commons.cli.CommandLine.addOption(Option) invokes inefficient new Integer(int) constructor; use Integer.valueOf(int) instead"
"Cli/1_buggy","Performance Warning","RCN","Redundant nullcheck of currentOption, which is known to be non-null in org.apache.commons.cli.GnuParser.flatten(Options, String[], boolean)"
"Cli/2_buggy","Bad practice Warning","Se","org.apache.commons.cli.HelpFormatter$OptionComparator implements Comparator but not Serializable"
"Cli/2_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.cli.HelpFormatter.printHelp(int, String, String, Options, String, boolean): new java.io.PrintWriter(OutputStream)"
"Cli/2_buggy","Internationalization Warning","EI","org.apache.commons.cli.CommandLine.getArgList() may expose internal representation by returning CommandLine.args"
"Cli/2_buggy","Internationalization Warning","EI","org.apache.commons.cli.Option.getValuesList() may expose internal representation by returning Option.values"
"Cli/2_buggy","Internationalization Warning","EI","org.apache.commons.cli.Options.getRequiredOptions() may expose internal representation by returning Options.requiredOpts"
"Cli/2_buggy","Internationalization Warning","EI","org.apache.commons.cli.Parser.parse(Options, String[], Properties, boolean) may expose internal representation by returning Parser.cmd"
"Cli/2_buggy","Malicious code vulnerability Warning","RCN","Redundant nullcheck of currentOption, which is known to be non-null in org.apache.commons.cli.GnuParser.flatten(Options, String[], boolean)"
"Cli/3_buggy","Bad practice Warning","Se","org.apache.commons.cli.HelpFormatter$OptionComparator implements Comparator but not Serializable"
"Cli/3_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.cli.HelpFormatter.printHelp(int, String, String, Options, String, boolean): new java.io.PrintWriter(OutputStream)"
"Cli/3_buggy","Internationalization Warning","EI","org.apache.commons.cli.CommandLine.getArgList() may expose internal representation by returning CommandLine.args"
"Cli/3_buggy","Internationalization Warning","EI","org.apache.commons.cli.Option.getValuesList() may expose internal representation by returning Option.values"
"Cli/3_buggy","Internationalization Warning","EI","org.apache.commons.cli.Options.getRequiredOptions() may expose internal representation by returning Options.requiredOpts"
"Cli/3_buggy","Internationalization Warning","EI","org.apache.commons.cli.Parser.parse(Options, String[], Properties, boolean) may expose internal representation by returning Parser.cmd"
"Cli/3_buggy","Malicious code vulnerability Warning","RCN","Redundant nullcheck of currentOption, which is known to be non-null in org.apache.commons.cli.GnuParser.flatten(Options, String[], boolean)"
"Cli/4_buggy","Bad practice Warning","Se","org.apache.commons.cli.HelpFormatter$OptionComparator implements Comparator but not Serializable"
"Cli/4_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.cli.HelpFormatter.printHelp(int, String, String, Options, String, boolean): new java.io.PrintWriter(OutputStream)"
"Cli/4_buggy","Internationalization Warning","EI","org.apache.commons.cli.CommandLine.getArgList() may expose internal representation by returning CommandLine.args"
"Cli/4_buggy","Internationalization Warning","EI","org.apache.commons.cli.Option.getValuesList() may expose internal representation by returning Option.values"
