"Warning Type","Code","Warning"
"Bad practice Warning","BC","Equals method for org.apache.commons.lang3.time.FormatCache$MultipartKey assumes the argument is of type FormatCache$MultipartKey"
"Bad practice Warning","CN","org.apache.commons.lang3.text.StrTokenizer.clone() does not call super.clone()"
"Bad practice Warning","DMI","Random object created and used only once in org.apache.commons.codec.digest.B64.getRandomSalt(int)"
"Bad practice Warning","ES","Comparison of String parameter using == or != in org.apache.commons.lang3.BooleanUtils.toBooleanObject(String)"
"Bad practice Warning","ES","Comparison of String parameter using == or != in org.apache.commons.lang3.StringUtils.compare(String, String, boolean)"
"Bad practice Warning","ES","Comparison of String parameter using == or != in org.apache.commons.lang3.StringUtils.compareIgnoreCase(String, String, boolean)"
"Bad practice Warning","ES","Comparison of String objects using == or != in org.apache.commons.lang3.time.GmtTimeZone.equals(Object)"
"Bad practice Warning","NP","org.apache.commons.lang3.BooleanUtils.negate(Boolean) has Boolean return type and returns explicit null"
"Bad practice Warning","NP","org.apache.commons.lang3.BooleanUtils.toBooleanObject(int, int, int, int) has Boolean return type and returns explicit null"
"Bad practice Warning","NP","org.apache.commons.lang3.BooleanUtils.toBooleanObject(Integer) has Boolean return type and returns explicit null"
"Bad practice Warning","NP","org.apache.commons.lang3.BooleanUtils.toBooleanObject(Integer, Integer, Integer, Integer) has Boolean return type and returns explicit null"
"Bad practice Warning","NP","org.apache.commons.lang3.BooleanUtils.toBooleanObject(String) has Boolean return type and returns explicit null"
"Bad practice Warning","NP","org.apache.commons.lang3.BooleanUtils.toBooleanObject(String, String, String, String) has Boolean return type and returns explicit null"
"Bad practice Warning","NP","org.apache.commons.lang3.time.FormatCache$MultipartKey.equals(Object) does not check for null argument"
"Bad practice Warning","RC","Suspicious comparison of Boolean references in org.apache.commons.lang3.BooleanUtils.toBoolean(String)"
"Correctness Warning","UR","registry isn't initialized in org.apache.commons.lang3.text.ExtendedMessageFormat.applyPattern(String) when invoked from constructor for superclass"
"Dodgy code Warning","EI","org.apache.commons.codec.language.bm.Languages.getLanguages() may expose internal representation by returning Languages.languages"
"Dodgy code Warning","EI","org.apache.commons.codec.language.bm.Rule$Phoneme.getPhonemeText() may expose internal representation by returning Rule$Phoneme.phonemeText"
"Dodgy code Warning","EI","org.apache.commons.codec.language.bm.Rule$PhonemeList.getPhonemes() may expose internal representation by returning Rule$PhonemeList.phonemes"
"Dodgy code Warning","EI","org.apache.commons.lang3.builder.DiffResult.getToStringStyle() may expose internal representation by returning DiffResult.style"
"Dodgy code Warning","EI","org.apache.commons.lang3.builder.ToStringBuilder.getStringBuffer() may expose internal representation by returning ToStringBuilder.buffer"
"Dodgy code Warning","EI","org.apache.commons.lang3.builder.ToStringBuilder.getStyle() may expose internal representation by returning ToStringBuilder.style"
"Dodgy code Warning","EI","org.apache.commons.lang3.exception.DefaultExceptionContext.getContextEntries() may expose internal representation by returning DefaultExceptionContext.contextValues"
"Dodgy code Warning","EI","org.apache.commons.lang3.time.FastDateParser.getTimeZone() may expose internal representation by returning FastDateParser.timeZone"
"Dodgy code Warning","EI","org.apache.commons.lang3.time.FastDatePrinter.getTimeZone() may expose internal representation by returning FastDatePrinter.mTimeZone"
"Dodgy code Warning","EI2","new org.apache.commons.codec.language.DoubleMetaphone$DoubleMetaphoneResult(DoubleMetaphone, int) may expose internal representation by storing an externally mutable object into DoubleMetaphone$DoubleMetaphoneResult.this$0"
"Dodgy code Warning","EI2","new org.apache.commons.codec.language.bm.Rule$PhonemeList(List) may expose internal representation by storing an externally mutable object into Rule$PhonemeList.phonemes"
"Dodgy code Warning","EI2","new org.apache.commons.lang3.builder.DiffBuilder(Object, Object, ToStringStyle, boolean) may expose internal representation by storing an externally mutable object into DiffBuilder.style"
"Dodgy code Warning","EI2","org.apache.commons.lang3.builder.EqualsBuilder.setBypassReflectionClasses(List) may expose internal representation by storing an externally mutable object into EqualsBuilder.bypassReflectionClasses"
"Dodgy code Warning","EI2","new org.apache.commons.lang3.text.ExtendedMessageFormat(String, Locale, Map) may expose internal representation by storing an externally mutable object into ExtendedMessageFormat.registry"
"Dodgy code Warning","MS","org.apache.commons.lang3.builder.ToStringBuilder.setDefaultStyle(ToStringStyle) may expose internal static state by storing a mutable object into a static field org.apache.commons.lang3.builder.ToStringBuilder.defaultStyle"
"Dodgy code Warning","MS","Public static org.apache.commons.lang3.builder.ToStringBuilder.getDefaultStyle() may expose internal representation by returning ToStringBuilder.defaultStyle"
