"Bug Id","Warning Type","Code","Warning"
"Codec/1_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.codec.binary.Base64.<static initializer for Base64>(): String.getBytes()"
"Codec/1_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.codec.binary.Hex.decode(byte[]): new String(byte[])"
"Codec/1_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.codec.binary.Hex.encode(Object): String.getBytes()"
"Codec/1_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.codec.binary.Hex.encode(byte[]): String.getBytes()"
"Codec/1_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.codec.digest.DigestUtils.md5(String): String.getBytes()"
"Codec/1_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.codec.digest.DigestUtils.sha(String): String.getBytes()"
"Codec/1_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.codec.digest.DigestUtils.sha256(String): String.getBytes()"
"Codec/1_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.codec.digest.DigestUtils.sha384(String): String.getBytes()"
"Codec/1_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.codec.digest.DigestUtils.sha512(String): String.getBytes()"
"Codec/1_buggy","Internationalization Warning","EI2","new org.apache.commons.codec.language.DoubleMetaphone$DoubleMetaphoneResult(DoubleMetaphone, int) may expose internal representation by storing an externally mutable object into DoubleMetaphone$DoubleMetaphoneResult.this$0"
"Codec/1_buggy","Internationalization Warning","EI2","new org.apache.commons.codec.language.RefinedSoundex(char[]) may expose internal representation by storing an externally mutable object into RefinedSoundex.soundexMapping"
"Codec/1_buggy","Internationalization Warning","MS","org.apache.commons.codec.language.RefinedSoundex.US_ENGLISH_MAPPING should be package protected"
"Codec/1_buggy","Internationalization Warning","MS","org.apache.commons.codec.language.Soundex.US_ENGLISH_MAPPING should be package protected"
"Codec/1_buggy","Malicious code vulnerability Warning","SF","Switch statement found in org.apache.commons.codec.language.Metaphone.metaphone(String) where default case is missing"
"Codec/2_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in new org.apache.commons.codec.binary.Base64(int, byte[], boolean): new String(byte[])"
"Codec/2_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.codec.binary.Hex.decode(byte[]): new String(byte[])"
"Codec/2_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.codec.binary.Hex.encode(Object): String.getBytes()"
"Codec/2_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.codec.binary.Hex.encode(byte[]): String.getBytes()"
"Codec/2_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.codec.digest.DigestUtils.md5(String): String.getBytes()"
"Codec/2_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.codec.digest.DigestUtils.sha(String): String.getBytes()"
"Codec/2_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.codec.digest.DigestUtils.sha256(String): String.getBytes()"
"Codec/2_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.codec.digest.DigestUtils.sha384(String): String.getBytes()"
"Codec/2_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.codec.digest.DigestUtils.sha512(String): String.getBytes()"
