"Warning Type","Code","Warning"
"Bad practice Warning","NP","org.apache.commons.collections4.MapUtils.getBoolean(Map, Object) has Boolean return type and returns explicit null"
"Correctness Warning","INT","Bad comparison of nonnegative value with 0 in org.apache.commons.collections4.ListUtils$Partition.get(int)"
"Correctness Warning","SA","Self assignment of field AbstractHashedMap$HashIterator.hashIndex in org.apache.commons.collections4.map.AbstractHashedMap$HashIterator.nextEntry()"
"Correctness Warning","SA","Self assignment of field AbstractReferenceMap$ReferenceBaseIterator.entry in org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceBaseIterator.hasNext()"
"Correctness Warning","SA","Self assignment of field AbstractReferenceMap$ReferenceBaseIterator.index in org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceBaseIterator.hasNext()"
"Dodgy code Warning","EI","org.apache.commons.collections4.bag.AbstractMapBag.uniqueSet() may expose internal representation by returning AbstractMapBag.uniqueSet"
"Dodgy code Warning","EI","org.apache.commons.collections4.bidimap.AbstractDualBidiMap.entrySet() may expose internal representation by returning AbstractDualBidiMap.entrySet"
"Dodgy code Warning","EI","org.apache.commons.collections4.bidimap.AbstractDualBidiMap.inverseBidiMap() may expose internal representation by returning AbstractDualBidiMap.inverseBidiMap"
"Dodgy code Warning","EI","org.apache.commons.collections4.bidimap.AbstractDualBidiMap.keySet() may expose internal representation by returning AbstractDualBidiMap.keySet"
"Dodgy code Warning","EI","org.apache.commons.collections4.bidimap.AbstractDualBidiMap.values() may expose internal representation by returning AbstractDualBidiMap.values"
"Dodgy code Warning","EI","org.apache.commons.collections4.bidimap.AbstractDualBidiMap$EntrySetIterator.next() may expose internal representation by returning AbstractDualBidiMap$EntrySetIterator.last"
"Dodgy code Warning","EI","org.apache.commons.collections4.bidimap.TreeBidiMap.entrySet() may expose internal representation by returning TreeBidiMap.entrySet"
"Dodgy code Warning","EI","org.apache.commons.collections4.bidimap.TreeBidiMap.inverseBidiMap() may expose internal representation by returning TreeBidiMap.inverse"
"Dodgy code Warning","EI","org.apache.commons.collections4.bidimap.TreeBidiMap.keySet() may expose internal representation by returning TreeBidiMap.keySet"
"Dodgy code Warning","EI","org.apache.commons.collections4.bidimap.TreeBidiMap.values() may expose internal representation by returning TreeBidiMap.valuesSet"
"Dodgy code Warning","EI","org.apache.commons.collections4.bidimap.UnmodifiableBidiMap.inverseBidiMap() may expose internal representation by returning UnmodifiableBidiMap.inverse"
"Dodgy code Warning","EI","org.apache.commons.collections4.bidimap.UnmodifiableOrderedBidiMap.inverseOrderedBidiMap() may expose internal representation by returning UnmodifiableOrderedBidiMap.inverse"
"Dodgy code Warning","EI","org.apache.commons.collections4.bidimap.UnmodifiableSortedBidiMap.inverseBidiMap() may expose internal representation by returning UnmodifiableSortedBidiMap.inverse"
