"Bug Id","Warning Type","Code","Warning"
"Collections/25_buggy","Bad practice Warning","NP","org.apache.commons.collections4.MapUtils.getBoolean(Map, Object) has Boolean return type and returns explicit null"
"Collections/25_buggy","Correctness Warning","INT","Bad comparison of nonnegative value with 0 in org.apache.commons.collections4.ListUtils$Partition.get(int)"
"Collections/25_buggy","Correctness Warning","SA","Self assignment of field AbstractHashedMap$HashIterator.hashIndex in org.apache.commons.collections4.map.AbstractHashedMap$HashIterator.nextEntry()"
"Collections/25_buggy","Correctness Warning","SA","Self assignment of field AbstractReferenceMap$ReferenceBaseIterator.entry in org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceBaseIterator.hasNext()"
"Collections/25_buggy","Correctness Warning","SA","Self assignment of field AbstractReferenceMap$ReferenceBaseIterator.index in org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceBaseIterator.hasNext()"
"Collections/25_buggy","Dodgy code Warning","EI","org.apache.commons.collections4.bag.AbstractMapBag.uniqueSet() may expose internal representation by returning AbstractMapBag.uniqueSet"
"Collections/25_buggy","Dodgy code Warning","EI","org.apache.commons.collections4.bidimap.AbstractDualBidiMap.entrySet() may expose internal representation by returning AbstractDualBidiMap.entrySet"
"Collections/25_buggy","Dodgy code Warning","EI","org.apache.commons.collections4.bidimap.AbstractDualBidiMap.inverseBidiMap() may expose internal representation by returning AbstractDualBidiMap.inverseBidiMap"
"Collections/25_buggy","Dodgy code Warning","EI","org.apache.commons.collections4.bidimap.AbstractDualBidiMap.keySet() may expose internal representation by returning AbstractDualBidiMap.keySet"
"Collections/25_buggy","Dodgy code Warning","EI","org.apache.commons.collections4.bidimap.AbstractDualBidiMap.values() may expose internal representation by returning AbstractDualBidiMap.values"
"Collections/25_buggy","Dodgy code Warning","EI","org.apache.commons.collections4.bidimap.AbstractDualBidiMap$EntrySetIterator.next() may expose internal representation by returning AbstractDualBidiMap$EntrySetIterator.last"
"Collections/25_buggy","Dodgy code Warning","EI","org.apache.commons.collections4.bidimap.TreeBidiMap.entrySet() may expose internal representation by returning TreeBidiMap.entrySet"
"Collections/25_buggy","Dodgy code Warning","EI","org.apache.commons.collections4.bidimap.TreeBidiMap.inverseBidiMap() may expose internal representation by returning TreeBidiMap.inverse"
"Collections/25_buggy","Dodgy code Warning","EI","org.apache.commons.collections4.bidimap.TreeBidiMap.keySet() may expose internal representation by returning TreeBidiMap.keySet"
"Collections/25_buggy","Dodgy code Warning","EI","org.apache.commons.collections4.bidimap.TreeBidiMap.values() may expose internal representation by returning TreeBidiMap.valuesSet"
"Collections/25_buggy","Dodgy code Warning","EI","org.apache.commons.collections4.bidimap.UnmodifiableBidiMap.inverseBidiMap() may expose internal representation by returning UnmodifiableBidiMap.inverse"
"Collections/25_buggy","Dodgy code Warning","EI","org.apache.commons.collections4.bidimap.UnmodifiableOrderedBidiMap.inverseOrderedBidiMap() may expose internal representation by returning UnmodifiableOrderedBidiMap.inverse"
"Collections/25_buggy","Dodgy code Warning","EI","org.apache.commons.collections4.bidimap.UnmodifiableSortedBidiMap.inverseBidiMap() may expose internal representation by returning UnmodifiableSortedBidiMap.inverse"
"Collections/25_buggy","Dodgy code Warning","EI","org.apache.commons.collections4.functors.MapTransformer.getMap() may expose internal representation by returning MapTransformer.iMap"
"Collections/25_buggy","Dodgy code Warning","EI","org.apache.commons.collections4.iterators.FilterIterator.getIterator() may expose internal representation by returning FilterIterator.iterator"
"Collections/25_buggy","Dodgy code Warning","EI","org.apache.commons.collections4.iterators.FilterListIterator.getListIterator() may expose internal representation by returning FilterListIterator.iterator"
"Collections/25_buggy","Dodgy code Warning","EI","org.apache.commons.collections4.iterators.IteratorEnumeration.getIterator() may expose internal representation by returning IteratorEnumeration.iterator"
"Collections/25_buggy","Dodgy code Warning","EI","org.apache.commons.collections4.iterators.IteratorIterable.iterator() may expose internal representation by returning IteratorIterable.typeSafeIterator"
"Collections/25_buggy","Dodgy code Warning","EI","org.apache.commons.collections4.iterators.ObjectArrayIterator.getArray() may expose internal representation by returning ObjectArrayIterator.array"
"Collections/25_buggy","Dodgy code Warning","EI","org.apache.commons.collections4.iterators.TransformIterator.getIterator() may expose internal representation by returning TransformIterator.iterator"
"Collections/25_buggy","Dodgy code Warning","EI","org.apache.commons.collections4.map.AbstractHashedMap.entrySet() may expose internal representation by returning AbstractHashedMap.entrySet"
"Collections/25_buggy","Dodgy code Warning","EI","org.apache.commons.collections4.map.AbstractHashedMap.keySet() may expose internal representation by returning AbstractHashedMap.keySet"
"Collections/25_buggy","Dodgy code Warning","EI","org.apache.commons.collections4.map.AbstractHashedMap.values() may expose internal representation by returning AbstractHashedMap.values"
"Collections/25_buggy","Dodgy code Warning","EI","org.apache.commons.collections4.map.AbstractReferenceMap.entrySet() may expose internal representation by returning AbstractHashedMap.entrySet"
"Collections/25_buggy","Dodgy code Warning","EI","org.apache.commons.collections4.map.AbstractReferenceMap.keySet() may expose internal representation by returning AbstractHashedMap.keySet"
"Collections/25_buggy","Dodgy code Warning","EI","org.apache.commons.collections4.map.AbstractReferenceMap.values() may expose internal representation by returning AbstractHashedMap.values"
"Collections/25_buggy","Dodgy code Warning","EI2","org.apache.commons.collections4.collection.CompositeCollection.setMutator(CompositeCollection$CollectionMutator) may expose internal representation by storing an externally mutable object into CompositeCollection.mutator"
"Collections/25_buggy","Dodgy code Warning","EI2","new org.apache.commons.collections4.collection.IndexedCollection(Collection, Transformer, MultiMap, boolean) may expose internal representation by storing an externally mutable object into IndexedCollection.index"
"Collections/25_buggy","Dodgy code Warning","EI2","new org.apache.commons.collections4.comparators.ComparatorChain(List, BitSet) may expose internal representation by storing an externally mutable object into ComparatorChain.comparatorChain"
"Collections/25_buggy","Dodgy code Warning","EI2","new org.apache.commons.collections4.comparators.ComparatorChain(List, BitSet) may expose internal representation by storing an externally mutable object into ComparatorChain.orderingBits"
"Collections/25_buggy","Dodgy code Warning","EI2","new org.apache.commons.collections4.iterators.AbstractListIteratorDecorator(ListIterator) may expose internal representation by storing an externally mutable object into AbstractListIteratorDecorator.iterator"
"Collections/25_buggy","Dodgy code Warning","EI2","new org.apache.commons.collections4.iterators.AbstractMapIteratorDecorator(MapIterator) may expose internal representation by storing an externally mutable object into AbstractMapIteratorDecorator.iterator"
"Collections/25_buggy","Dodgy code Warning","EI2","new org.apache.commons.collections4.iterators.BoundedIterator(Iterator, long, long) may expose internal representation by storing an externally mutable object into BoundedIterator.iterator"
"Collections/25_buggy","Dodgy code Warning","EI2","new org.apache.commons.collections4.iterators.EntrySetMapIterator(Map) may expose internal representation by storing an externally mutable object into EntrySetMapIterator.map"
"Collections/25_buggy","Dodgy code Warning","EI2","new org.apache.commons.collections4.iterators.EnumerationIterator(Enumeration, Collection) may expose internal representation by storing an externally mutable object into EnumerationIterator.collection"
"Collections/25_buggy","Dodgy code Warning","EI2","new org.apache.commons.collections4.iterators.FilterIterator(Iterator) may expose internal representation by storing an externally mutable object into FilterIterator.iterator"
"Collections/25_buggy","Dodgy code Warning","EI2","new org.apache.commons.collections4.iterators.FilterIterator(Iterator, Predicate) may expose internal representation by storing an externally mutable object into FilterIterator.iterator"
"Collections/25_buggy","Dodgy code Warning","EI2","org.apache.commons.collections4.iterators.FilterIterator.setIterator(Iterator) may expose internal representation by storing an externally mutable object into FilterIterator.iterator"
"Collections/25_buggy","Dodgy code Warning","EI2","new org.apache.commons.collections4.iterators.FilterListIterator(ListIterator) may expose internal representation by storing an externally mutable object into FilterListIterator.iterator"
"Collections/25_buggy","Dodgy code Warning","EI2","new org.apache.commons.collections4.iterators.FilterListIterator(ListIterator, Predicate) may expose internal representation by storing an externally mutable object into FilterListIterator.iterator"
"Collections/25_buggy","Dodgy code Warning","EI2","org.apache.commons.collections4.iterators.FilterListIterator.setListIterator(ListIterator) may expose internal representation by storing an externally mutable object into FilterListIterator.iterator"
"Collections/25_buggy","Dodgy code Warning","EI2","new org.apache.commons.collections4.iterators.IteratorEnumeration(Iterator) may expose internal representation by storing an externally mutable object into IteratorEnumeration.iterator"
"Collections/25_buggy","Dodgy code Warning","EI2","org.apache.commons.collections4.iterators.IteratorEnumeration.setIterator(Iterator) may expose internal representation by storing an externally mutable object into IteratorEnumeration.iterator"
"Collections/25_buggy","Dodgy code Warning","EI2","new org.apache.commons.collections4.iterators.IteratorIterable(Iterator, boolean) may expose internal representation by storing an externally mutable object into IteratorIterable.iterator"
"Collections/25_buggy","Dodgy code Warning","EI2","new org.apache.commons.collections4.iterators.ListIteratorWrapper(Iterator) may expose internal representation by storing an externally mutable object into ListIteratorWrapper.iterator"
