"Warning Type","Code","Warning"
"Correctness Warning","SA","Self assignment of field BlockSort.workDone in org.apache.commons.compress.compressors.bzip2.BlockSort.mainSimpleSort(BZip2CompressorOutputStream$Data, int, int, int, int)"
"Correctness Warning","SA","Self assignment of field CRC.globalCrc in org.apache.commons.compress.compressors.bzip2.CRC.updateCRC(int, int)"
"Dodgy code Warning","EI","org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream.getNextCPIOEntry() may expose internal representation by returning CpioArchiveInputStream.entry"
"Dodgy code Warning","EI","org.apache.commons.compress.archivers.dump.DumpArchiveEntry.getPermissions() may expose internal representation by returning DumpArchiveEntry.permissions"
"Dodgy code Warning","EI","org.apache.commons.compress.archivers.dump.DumpArchiveInputStream.getSummary() may expose internal representation by returning DumpArchiveInputStream.summary"
"Dodgy code Warning","EI","org.apache.commons.compress.archivers.tar.TarArchiveInputStream.getCurrentEntry() may expose internal representation by returning TarArchiveInputStream.currEntry"
"Dodgy code Warning","EI","org.apache.commons.compress.archivers.tar.TarArchiveInputStream.getNextTarEntry() may expose internal representation by returning TarArchiveInputStream.currEntry"
"Dodgy code Warning","EI","org.apache.commons.compress.archivers.zip.UnsupportedZipFeatureException.getEntry() may expose internal representation by returning UnsupportedZipFeatureException.entry"
"Dodgy code Warning","EI","org.apache.commons.compress.changes.ChangeSetResults.getAddedFromChangeSet() may expose internal representation by returning ChangeSetResults.addedFromChangeSet"
"Dodgy code Warning","EI","org.apache.commons.compress.changes.ChangeSetResults.getAddedFromStream() may expose internal representation by returning ChangeSetResults.addedFromStream"
"Dodgy code Warning","EI","org.apache.commons.compress.changes.ChangeSetResults.getDeleted() may expose internal representation by returning ChangeSetResults.deleted"
"Dodgy code Warning","EI","org.apache.commons.compress.compressors.gzip.GzipCompressorInputStream.getMetaData() may expose internal representation by returning GzipCompressorInputStream.parameters"
"Dodgy code Warning","EI2","new org.apache.commons.compress.archivers.ar.ArArchiveOutputStream(OutputStream) may expose internal representation by storing an externally mutable object into ArArchiveOutputStream.out"
"Dodgy code Warning","EI2","new org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream(OutputStream, short, int, String) may expose internal representation by storing an externally mutable object into CpioArchiveOutputStream.out"
"Dodgy code Warning","EI2","org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream.putArchiveEntry(ArchiveEntry) may expose internal representation by storing an externally mutable object into CpioArchiveOutputStream.entry"
"Dodgy code Warning","EI2","new org.apache.commons.compress.archivers.zip.UnsupportedZipFeatureException(UnsupportedZipFeatureException$Feature, ZipArchiveEntry) may expose internal representation by storing an externally mutable object into UnsupportedZipFeatureException.entry"
"Dodgy code Warning","EI2","new org.apache.commons.compress.archivers.zip.UnsupportedZipFeatureException(ZipMethod, ZipArchiveEntry) may expose internal representation by storing an externally mutable object into UnsupportedZipFeatureException.entry"
"Dodgy code Warning","EI2","new org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream(OutputStream) may expose internal representation by storing an externally mutable object into ZipArchiveOutputStream.out"
"Dodgy code Warning","EI2","new org.apache.commons.compress.compressors.bzip2.BZip2CompressorOutputStream(OutputStream, int) may expose internal representation by storing an externally mutable object into BZip2CompressorOutputStream.out"
"Dodgy code Warning","EI2","new org.apache.commons.compress.compressors.gzip.GzipCompressorOutputStream(OutputStream, GzipParameters) may expose internal representation by storing an externally mutable object into GzipCompressorOutputStream.out"
"Dodgy code Warning","EI2","new org.apache.commons.compress.compressors.pack200.Pack200CompressorOutputStream(OutputStream, Pack200Strategy, Map) may expose internal representation by storing an externally mutable object into Pack200CompressorOutputStream.originalOutput"
"Dodgy code Warning","EI2","new org.apache.commons.compress.compressors.pack200.Pack200CompressorOutputStream(OutputStream, Pack200Strategy, Map) may expose internal representation by storing an externally mutable object into Pack200CompressorOutputStream.properties"
"Dodgy code Warning","REFLC","Public method org.apache.commons.compress.archivers.zip.ExtraFieldUtils.register(Class) uses reflection to create a class it gets in its parameter which could increase the accessibility of any class"
"Malicious code vulnerability Warning","NP","Possible null pointer dereference in org.apache.commons.compress.archivers.tar.TarArchiveEntry.getDirectoryEntries() due to return value of called method"
