"Bug Id","Warning Type","Code","Warning"
"Compress/1_buggy","Bad practice Warning","Eq","org.apache.commons.compress.archivers.zip.Simple8BitZipEncoding$Simple8BitChar defines compareTo(Object) and uses Object.equals()"
"Compress/1_buggy","Correctness Warning","RV","new IllegalArgumentException(String) not thrown in org.apache.commons.compress.archivers.cpio.CpioArchiveEntry.setMode(long)"
"Compress/1_buggy","Correctness Warning","SA","Self assignment of field CRC.globalCrc in org.apache.commons.compress.compressors.bzip2.CRC.updateCRC(int, int)"
"Compress/1_buggy","Correctness Warning","UwF","Field only ever set to null: org.apache.commons.compress.archivers.jar.JarArchiveEntry.certificates"
"Compress/1_buggy","Correctness Warning","UwF","Field only ever set to null: org.apache.commons.compress.archivers.jar.JarArchiveEntry.manifestAttributes"
"Compress/1_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.compress.archivers.ar.ArArchiveInputStream.getNextArEntry(): new String(byte[])"
"Compress/1_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.compress.archivers.ar.ArArchiveInputStream.getNextArEntry(): String.getBytes()"
"Compress/1_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.compress.archivers.ar.ArArchiveOutputStream.writeArchiveHeader(): String.getBytes()"
"Compress/1_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream.getNextCPIOEntry(): new String(byte[])"
"Compress/1_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream.readAsciiLong(int, int): new String(byte[])"
"Compress/1_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream.readCString(int): new String(byte[], int, int)"
"Compress/1_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream.writeAsciiLong(long, int, int): String.getBytes()"
"Compress/1_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream.writeCString(String): String.getBytes()"
"Compress/1_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream.writeHeader(CpioArchiveEntry): String.getBytes()"
"Compress/1_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.compress.archivers.tar.TarArchiveInputStream.getNextTarEntry(): new String(byte[], int, int)"
"Compress/1_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.compress.archivers.tar.TarArchiveOutputStream.putNextEntry(TarArchiveEntry): String.getBytes()"
"Compress/1_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.compress.archivers.zip.AsiExtraField.getLocalFileDataData(): String.getBytes()"
"Compress/1_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.compress.archivers.zip.AsiExtraField.getLocalFileDataLength(): String.getBytes()"
"Compress/1_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.compress.archivers.zip.AsiExtraField.parseFromLocalFileData(byte[], int, int): new String(byte[])"
"Compress/1_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.compress.archivers.zip.FallbackZipEncoding.decode(byte[]): new String(byte[])"
"Compress/1_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.compress.archivers.zip.FallbackZipEncoding.encode(String): String.getBytes()"
"Compress/1_buggy","Internationalization Warning","EI","org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream.getNextCPIOEntry() may expose internal representation by returning CpioArchiveInputStream.entry"
"Compress/1_buggy","Internationalization Warning","EI","org.apache.commons.compress.archivers.jar.JarArchiveEntry.getManifestAttributes() may expose internal representation by returning JarArchiveEntry.manifestAttributes"
"Compress/1_buggy","Internationalization Warning","EI","org.apache.commons.compress.archivers.tar.TarArchiveInputStream.getNextTarEntry() may expose internal representation by returning TarArchiveInputStream.currEntry"
"Compress/1_buggy","Internationalization Warning","EI","org.apache.commons.compress.archivers.zip.AbstractUnicodeExtraField.getCentralDirectoryData() may expose internal representation by returning AbstractUnicodeExtraField.data"
"Compress/1_buggy","Internationalization Warning","EI","org.apache.commons.compress.archivers.zip.AbstractUnicodeExtraField.getUnicodeName() may expose internal representation by returning AbstractUnicodeExtraField.unicodeName"
"Compress/1_buggy","Internationalization Warning","EI","org.apache.commons.compress.changes.ChangeSet.asSet() may expose internal representation by returning ChangeSet.changes"
