"Bug Id","Warning Type","Code","Warning"
"Csv/1_buggy","Dodgy code Warning","SF","Switch statement found in org.apache.commons.csv.CSVPrinter.printComment(String) where one case falls through to the next case"
"Csv/2_buggy","Dodgy code Warning","NP","Immediate dereference of the result of readLine() in org.apache.commons.csv.CSVLexer.nextToken(Token)"
"Csv/2_buggy","Dodgy code Warning","SF","Switch statement found in org.apache.commons.csv.CSVPrinter.printComment(String) where one case falls through to the next case"
"Csv/3_buggy","Dodgy code Warning","Bx","Boxed value is unboxed and then immediately reboxed in org.apache.commons.csv.CSVRecord.get(String)"
"Csv/3_buggy","Performance Warning","NP","Immediate dereference of the result of readLine() in org.apache.commons.csv.CSVLexer.nextToken(Token)"
"Csv/3_buggy","Performance Warning","SF","Switch statement found in org.apache.commons.csv.CSVPrinter.printComment(String) where one case falls through to the next case"
"Csv/4_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.csv.CSVParser.parse(File, CSVFormat): new java.io.FileReader(File)"
"Csv/4_buggy","Internationalization Warning","SF","Switch statement found in org.apache.commons.csv.CSVPrinter.printComment(String) where one case falls through to the next case"
"Csv/5_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.csv.CSVParser.parse(File, CSVFormat): new java.io.FileReader(File)"
"Csv/5_buggy","Internationalization Warning","SF","Switch statement found in org.apache.commons.csv.CSVPrinter.printComment(String) where one case falls through to the next case"
"Csv/6_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.csv.CSVParser.parse(File, CSVFormat): new java.io.FileReader(File)"
"Csv/6_buggy","Internationalization Warning","SF","Switch statement found in org.apache.commons.csv.CSVPrinter.printComment(String) where one case falls through to the next case"
"Csv/7_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.csv.CSVParser.parse(File, CSVFormat): new java.io.FileReader(File)"
"Csv/7_buggy","Internationalization Warning","SF","Switch statement found in org.apache.commons.csv.CSVPrinter.printComment(String) where one case falls through to the next case"
"Csv/8_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.csv.CSVParser.parse(File, CSVFormat): new java.io.FileReader(File)"
"Csv/8_buggy","Internationalization Warning","SF","Switch statement found in org.apache.commons.csv.CSVPrinter.printComment(String) where one case falls through to the next case"
"Csv/9_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.csv.CSVParser.parse(File, CSVFormat): new java.io.FileReader(File)"
"Csv/9_buggy","Internationalization Warning","SF","Switch statement found in org.apache.commons.csv.CSVPrinter.printComment(String) where one case falls through to the next case"
"Csv/10_buggy","Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.csv.CSVParser.parse(File, CSVFormat): new java.io.FileReader(File)"
"Csv/10_buggy","Internationalization Warning","SF","Switch statement found in org.apache.commons.csv.CSVPrinter.printComment(String) where one case falls through to the next case"
"Csv/11_buggy","Dodgy code Warning","SF","Switch statement found in org.apache.commons.csv.CSVPrinter.printComment(String) where one case falls through to the next case"
"Csv/12_buggy","Dodgy code Warning","SF","Switch statement found in org.apache.commons.csv.CSVPrinter.printComment(String) where one case falls through to the next case"
"Csv/13_buggy","Dodgy code Warning","SF","Switch statement found in org.apache.commons.csv.CSVPrinter.printComment(String) where one case falls through to the next case"
"Csv/14_buggy","Dodgy code Warning","SF","Switch statement found in org.apache.commons.csv.CSVPrinter.printComment(String) where one case falls through to the next case"
"Csv/15_buggy","Dodgy code Warning","SF","Switch statement found in org.apache.commons.csv.CSVPrinter.printComment(String) where one case falls through to the next case"
"Csv/16_buggy","Dodgy code Warning","SF","Switch statement found in org.apache.commons.csv.CSVPrinter.printComment(String) where one case falls through to the next case"
