"Warning Type","Code","Warning"
"Bad practice Warning","NP","com.google.gson.internal.bind.TypeAdapters$7.read(JsonReader) has Boolean return type and returns explicit null"
"Bad practice Warning","NP","com.google.gson.internal.bind.TypeAdapters$8.read(JsonReader) has Boolean return type and returns explicit null"
"Bad practice Warning","Se","Class com.google.gson.internal.LinkedHashTreeMap defines non-transient non-serializable instance field entrySet"
"Bad practice Warning","Se","Class com.google.gson.internal.LinkedHashTreeMap defines non-transient non-serializable instance field header"
"Bad practice Warning","Se","Class com.google.gson.internal.LinkedHashTreeMap defines non-transient non-serializable instance field keySet"
"Bad practice Warning","Se","Class com.google.gson.internal.LinkedHashTreeMap defines non-transient non-serializable instance field table"
"Bad practice Warning","Se","Class com.google.gson.internal.LinkedTreeMap defines non-transient non-serializable instance field header"
"Bad practice Warning","Se","Class com.google.gson.internal.LinkedTreeMap defines non-transient non-serializable instance field keySet"
"Bad practice Warning","Se","Class com.google.gson.internal.LinkedTreeMap defines non-transient non-serializable instance field root"
"Bad practice Warning","Se","Class com.google.gson.internal.LinkedTreeMap defines non-transient non-serializable instance field entrySet"
"Correctness Warning","SA","Self assignment of field LinkedHashTreeMap$Node.parent in com.google.gson.internal.LinkedHashTreeMap$AvlBuilder.add(LinkedHashTreeMap$Node)"
"Correctness Warning","SA","Self assignment of field JsonReader.pos in com.google.gson.stream.JsonReader.nextNonWhitespace(boolean)"
"Dodgy code Warning","EI2","new com.google.gson.FieldAttributes(Field) may expose internal representation by storing an externally mutable object into FieldAttributes.field"
"Dodgy code Warning","EI2","new com.google.gson.internal.ConstructorConstructor(Map) may expose internal representation by storing an externally mutable object into ConstructorConstructor.instanceCreators"
"Dodgy code Warning","EI2","new com.google.gson.stream.JsonWriter(Writer) may expose internal representation by storing an externally mutable object into JsonWriter.out"
"Dodgy code Warning","MS","com.google.gson.internal.JsonReaderInternalAccess.INSTANCE isn't final and cannot be protected from malicious code"
"Malicious code vulnerability Warning","DLS","Dead store to jsonAdapterPresent in com.google.gson.internal.bind.ReflectiveTypeAdapterFactory.createBoundField(Gson, Field, String, TypeToken, boolean, boolean)"
"Malicious code vulnerability Warning","NP","Load of known null value in com.google.gson.internal.LinkedHashTreeMap.find(Object, boolean)"
"Malicious code vulnerability Warning","NP","Load of known null value in com.google.gson.internal.LinkedTreeMap.find(Object, boolean)"
"Malicious code vulnerability Warning","REC","Exception is caught when Exception is not thrown in com.google.gson.internal.UnsafeAllocator.create()"
"Malicious code vulnerability Warning","SF","Switch statement found in com.google.gson.stream.JsonReader.doPeek() where one case falls through to the next case"
"Malicious code vulnerability Warning","SF","Switch statement found in com.google.gson.stream.JsonReader.isLiteral(char) where one case falls through to the next case"
"Malicious code vulnerability Warning","SF","Switch statement found in com.google.gson.stream.JsonReader.nextUnquotedValue() where one case falls through to the next case"
"Malicious code vulnerability Warning","SF","Switch statement found in com.google.gson.stream.JsonReader.skipUnquotedValue() where one case falls through to the next case"
"Malicious code vulnerability Warning","SF","Switch statement found in com.google.gson.stream.JsonReader.readEscapeCharacter() where default case is missing"
