"Bug Id","Warning Type","Code","Warning"
"Gson/1_buggy","Dodgy code Warning","EI","com.google.gson.FieldAttributes.getAnnotations() may expose internal representation by returning FieldAttributes.annotations"
"Gson/1_buggy","Dodgy code Warning","EI2","new com.google.gson.stream.JsonWriter(Writer) may expose internal representation by storing an externally mutable object into JsonWriter.out"
"Gson/1_buggy","Malicious code vulnerability Warning","DLS","Dead store to objectToVisit in com.google.gson.ObjectNavigator.accept(ObjectNavigator$Visitor)"
"Gson/1_buggy","Malicious code vulnerability Warning","SF","Switch statement found in com.google.gson.stream.JsonReader.nextInArray(boolean) where one case falls through to the next case"
"Gson/1_buggy","Malicious code vulnerability Warning","SF","Switch statement found in com.google.gson.stream.JsonReader.nextInObject(boolean) where one case falls through to the next case"
"Gson/1_buggy","Malicious code vulnerability Warning","SF","Switch statement found in com.google.gson.stream.JsonReader.nextLiteral() where one case falls through to the next case"
"Gson/1_buggy","Malicious code vulnerability Warning","SF","Switch statement found in com.google.gson.stream.JsonReader.nextValue() where one case falls through to the next case"
"Gson/2_buggy","Bad practice Warning","NP","com.google.gson.internal.bind.TypeAdapters$3.read(JsonReader) has Boolean return type and returns explicit null"
"Gson/2_buggy","Bad practice Warning","NP","com.google.gson.internal.bind.TypeAdapters$4.read(JsonReader) has Boolean return type and returns explicit null"
"Gson/2_buggy","Bad practice Warning","Se","Class com.google.gson.internal.LinkedHashTreeMap defines non-transient non-serializable instance field entrySet"
"Gson/2_buggy","Bad practice Warning","Se","Class com.google.gson.internal.LinkedHashTreeMap defines non-transient non-serializable instance field header"
"Gson/2_buggy","Bad practice Warning","Se","Class com.google.gson.internal.LinkedHashTreeMap defines non-transient non-serializable instance field keySet"
"Gson/2_buggy","Bad practice Warning","Se","Class com.google.gson.internal.LinkedHashTreeMap defines non-transient non-serializable instance field table"
"Gson/2_buggy","Bad practice Warning","Se","Class com.google.gson.internal.LinkedTreeMap defines non-transient non-serializable instance field header"
"Gson/2_buggy","Bad practice Warning","Se","Class com.google.gson.internal.LinkedTreeMap defines non-transient non-serializable instance field keySet"
"Gson/2_buggy","Bad practice Warning","Se","Class com.google.gson.internal.LinkedTreeMap defines non-transient non-serializable instance field root"
"Gson/2_buggy","Bad practice Warning","Se","Class com.google.gson.internal.LinkedTreeMap defines non-transient non-serializable instance field entrySet"
"Gson/2_buggy","Correctness Warning","SA","Self assignment of field LinkedHashTreeMap$Node.parent in com.google.gson.internal.LinkedHashTreeMap$AvlBuilder.add(LinkedHashTreeMap$Node)"
"Gson/2_buggy","Correctness Warning","SA","Self assignment of field JsonReader.pos in com.google.gson.stream.JsonReader.nextNonWhitespace(boolean)"
"Gson/2_buggy","Dodgy code Warning","EI2","new com.google.gson.FieldAttributes(Field) may expose internal representation by storing an externally mutable object into FieldAttributes.field"
"Gson/2_buggy","Dodgy code Warning","EI2","new com.google.gson.internal.ConstructorConstructor(Map) may expose internal representation by storing an externally mutable object into ConstructorConstructor.instanceCreators"
"Gson/2_buggy","Dodgy code Warning","EI2","new com.google.gson.stream.JsonWriter(Writer) may expose internal representation by storing an externally mutable object into JsonWriter.out"
"Gson/2_buggy","Dodgy code Warning","MS","com.google.gson.internal.JsonReaderInternalAccess.INSTANCE isn't final and cannot be protected from malicious code"
"Gson/2_buggy","Malicious code vulnerability Warning","NP","Load of known null value in com.google.gson.internal.LinkedHashTreeMap.find(Object, boolean)"
"Gson/2_buggy","Malicious code vulnerability Warning","NP","Load of known null value in com.google.gson.internal.LinkedTreeMap.find(Object, boolean)"
"Gson/2_buggy","Malicious code vulnerability Warning","REC","Exception is caught when Exception is not thrown in com.google.gson.internal.UnsafeAllocator.create()"
"Gson/2_buggy","Malicious code vulnerability Warning","SF","Switch statement found in com.google.gson.stream.JsonReader.doPeek() where one case falls through to the next case"
"Gson/2_buggy","Malicious code vulnerability Warning","SF","Switch statement found in com.google.gson.stream.JsonReader.isLiteral(char) where one case falls through to the next case"
"Gson/2_buggy","Malicious code vulnerability Warning","SF","Switch statement found in com.google.gson.stream.JsonReader.nextUnquotedValue() where one case falls through to the next case"
"Gson/2_buggy","Malicious code vulnerability Warning","SF","Switch statement found in com.google.gson.stream.JsonReader.skipUnquotedValue() where one case falls through to the next case"
"Gson/2_buggy","Malicious code vulnerability Warning","SF","Switch statement found in com.google.gson.stream.JsonReader.readEscapeCharacter() where default case is missing"
"Gson/3_buggy","Bad practice Warning","NP","com.google.gson.internal.bind.TypeAdapters$3.read(JsonReader) has Boolean return type and returns explicit null"
"Gson/3_buggy","Bad practice Warning","NP","com.google.gson.internal.bind.TypeAdapters$4.read(JsonReader) has Boolean return type and returns explicit null"
"Gson/3_buggy","Bad practice Warning","Se","Class com.google.gson.internal.LinkedHashTreeMap defines non-transient non-serializable instance field entrySet"
"Gson/3_buggy","Bad practice Warning","Se","Class com.google.gson.internal.LinkedHashTreeMap defines non-transient non-serializable instance field header"
