"Warning Type","Code","Warning"
"Bad practice Warning","BC","Equals method for com.fasterxml.jackson.databind.introspect.AnnotatedClass assumes the argument is of type AnnotatedClass"
"Bad practice Warning","BC","Equals method for com.fasterxml.jackson.databind.introspect.AnnotatedConstructor assumes the argument is of type AnnotatedConstructor"
"Bad practice Warning","BC","Equals method for com.fasterxml.jackson.databind.introspect.AnnotatedField assumes the argument is of type AnnotatedField"
"Bad practice Warning","BC","Equals method for com.fasterxml.jackson.databind.introspect.AnnotatedMethod assumes the argument is of type AnnotatedMethod"
"Bad practice Warning","BC","Equals method for com.fasterxml.jackson.databind.introspect.AnnotatedParameter assumes the argument is of type AnnotatedParameter"
"Bad practice Warning","BC","Equals method for com.fasterxml.jackson.databind.introspect.VirtualAnnotatedMember assumes the argument is of type VirtualAnnotatedMember"
"Bad practice Warning","BC","Equals method for com.fasterxml.jackson.databind.type.TypeBindings assumes the argument is of type TypeBindings"
"Bad practice Warning","CN","com.fasterxml.jackson.databind.util.ISO8601DateFormat.clone() does not call super.clone()"
"Bad practice Warning","CN","com.fasterxml.jackson.databind.util.StdDateFormat.clone() does not call super.clone()"
"Bad practice Warning","DE","com.fasterxml.jackson.databind.introspect.AnnotatedMethodCollector.collect(TypeFactory, TypeResolutionContext, JavaType, List, Class) might ignore java.lang.Exception"
"Bad practice Warning","ES","Comparison of String parameter using == or != in com.fasterxml.jackson.databind.deser.impl.BeanPropertyMap._find2(String, int, Object)"
"Bad practice Warning","ES","Comparison of String parameter using == or != in com.fasterxml.jackson.databind.deser.impl.BeanPropertyMap._find2ViaAlias(String, int, Object)"
"Bad practice Warning","ES","Comparison of String parameter using == or != in com.fasterxml.jackson.databind.util.CompactStringObjectMap._find2(String, int, Object)"
"Bad practice Warning","Eq","com.fasterxml.jackson.databind.introspect.POJOPropertyBuilder defines compareTo(POJOPropertyBuilder) and uses Object.equals()"
"Bad practice Warning","HE","com.fasterxml.jackson.databind.util.ArrayBuilders$1 defines equals and uses Object.hashCode()"
"Bad practice Warning","NP","com.fasterxml.jackson.databind.AnnotationIntrospector.isIgnorableType(AnnotatedClass) has Boolean return type and returns explicit null"
"Bad practice Warning","NP","com.fasterxml.jackson.databind.AnnotationIntrospector.isTypeId(AnnotatedMember) has Boolean return type and returns explicit null"
"Bad practice Warning","NP","com.fasterxml.jackson.databind.AnnotationIntrospector.findIgnoreUnknownProperties(AnnotatedClass) has Boolean return type and returns explicit null"
"Bad practice Warning","NP","com.fasterxml.jackson.databind.AnnotationIntrospector.findMergeInfo(Annotated) has Boolean return type and returns explicit null"
"Bad practice Warning","NP","com.fasterxml.jackson.databind.AnnotationIntrospector.findSerializationSortAlphabetically(Annotated) has Boolean return type and returns explicit null"
"Bad practice Warning","NP","com.fasterxml.jackson.databind.AnnotationIntrospector.hasAnyGetter(Annotated) has Boolean return type and returns explicit null"
"Bad practice Warning","NP","com.fasterxml.jackson.databind.AnnotationIntrospector.hasAnySetter(Annotated) has Boolean return type and returns explicit null"
"Bad practice Warning","NP","com.fasterxml.jackson.databind.AnnotationIntrospector.hasAsValue(Annotated) has Boolean return type and returns explicit null"
"Bad practice Warning","NP","com.fasterxml.jackson.databind.AnnotationIntrospector.hasRequiredMarker(AnnotatedMember) has Boolean return type and returns explicit null"
"Bad practice Warning","NP","com.fasterxml.jackson.databind.JsonDeserializer.supportsUpdate(DeserializationConfig) has Boolean return type and returns explicit null"
"Bad practice Warning","NP","com.fasterxml.jackson.databind.deser.AbstractDeserializer.supportsUpdate(DeserializationConfig) has Boolean return type and returns explicit null"
"Bad practice Warning","NP","com.fasterxml.jackson.databind.deser.std.StdDeserializer.findFormatFeature(DeserializationContext, BeanProperty, Class, JsonFormat$Feature) has Boolean return type and returns explicit null"
