"Warning Type","Code","Warning"
"Bad practice Warning","ES","Comparison of String objects using == or != in com.fasterxml.jackson.dataformat.xml.JacksonXmlModule.setupModule(Module$SetupContext)"
"Bad practice Warning","NP","com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.isOutputAsAttribute(Annotated) has Boolean return type and returns explicit null"
"Bad practice Warning","NP","com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.isOutputAsCData(Annotated) has Boolean return type and returns explicit null"
"Bad practice Warning","NP","com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.isOutputAsText(Annotated) has Boolean return type and returns explicit null"
"Bad practice Warning","NP","com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$JaxbWrapper.isOutputAsCData(Annotated) has Boolean return type and returns explicit null"
"Bad practice Warning","NP","com.fasterxml.jackson.dataformat.xml.jaxb.XmlJaxbAnnotationIntrospector.isOutputAsCData(Annotated) has Boolean return type and returns explicit null"
"Bad practice Warning","NP","com.fasterxml.jackson.dataformat.xml.util.AnnotationUtil.findIsAttributeAnnotation(AnnotationIntrospector, AnnotatedMember) has Boolean return type and returns explicit null"
"Bad practice Warning","NP","com.fasterxml.jackson.dataformat.xml.util.AnnotationUtil.findIsCDataAnnotation(AnnotationIntrospector, AnnotatedMember) has Boolean return type and returns explicit null"
"Bad practice Warning","NP","com.fasterxml.jackson.dataformat.xml.util.AnnotationUtil.findIsTextAnnotation(AnnotationIntrospector, AnnotatedMember) has Boolean return type and returns explicit null"
"Dodgy code Warning","EI","com.fasterxml.jackson.dataformat.xml.XmlFactory.getXMLInputFactory() may expose internal representation by returning XmlFactory._xmlInputFactory"
"Dodgy code Warning","EI","com.fasterxml.jackson.dataformat.xml.XmlFactory.getXMLOutputFactory() may expose internal representation by returning XmlFactory._xmlOutputFactory"
"Dodgy code Warning","EI","com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getBinaryValue(Base64Variant) may expose internal representation by returning FromXmlParser._binaryValue"
"Dodgy code Warning","EI","com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getParsingContext() may expose internal representation by returning FromXmlParser._parsingContext"
"Dodgy code Warning","EI","com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext.createChildArrayContext(int, int) may expose internal representation by returning XmlReadContext._child"
"Dodgy code Warning","EI","com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext.createChildObjectContext(int, int) may expose internal representation by returning XmlReadContext._child"
"Dodgy code Warning","EI","com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext.getNamesToWrap() may expose internal representation by returning XmlReadContext._namesToWrap"
"Dodgy code Warning","EI","com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext.getParent() may expose internal representation by returning XmlReadContext._parent"
"Dodgy code Warning","EI","com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.getOutputTarget() may expose internal representation by returning ToXmlGenerator._originalXmlWriter"
"Dodgy code Warning","EI2","new com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair(AnnotationIntrospector, AnnotationIntrospector) may expose internal representation by storing an externally mutable object into XmlAnnotationIntrospector$Pair._xmlPrimary"
"Dodgy code Warning","EI2","new com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair(AnnotationIntrospector, AnnotationIntrospector) may expose internal representation by storing an externally mutable object into XmlAnnotationIntrospector$Pair._xmlSecondary"
"Dodgy code Warning","EI2","com.fasterxml.jackson.dataformat.xml.XmlFactory.setXMLInputFactory(XMLInputFactory) may expose internal representation by storing an externally mutable object into XmlFactory._xmlInputFactory"
"Dodgy code Warning","EI2","com.fasterxml.jackson.dataformat.xml.XmlFactory.setXMLOutputFactory(XMLOutputFactory) may expose internal representation by storing an externally mutable object into XmlFactory._xmlOutputFactory"
"Dodgy code Warning","EI2","new com.fasterxml.jackson.dataformat.xml.XmlMapper(XmlFactory, JacksonXmlModule) may expose internal representation by storing an externally mutable object into XmlMapper._xmlModule"
"Dodgy code Warning","EI2","com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.addVirtualWrapping(Set) may expose internal representation by storing an externally mutable object into FromXmlParser._namesToWrap"
"Dodgy code Warning","EI2","new com.fasterxml.jackson.dataformat.xml.deser.WrapperHandlingDeserializer(BeanDeserializerBase, Set) may expose internal representation by storing an externally mutable object into WrapperHandlingDeserializer._namesToWrap"
"Dodgy code Warning","EI2","new com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext(XmlReadContext, int, int, int) may expose internal representation by storing an externally mutable object into XmlReadContext._parent"
"Dodgy code Warning","EI2","com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext.setNamesToWrap(Set) may expose internal representation by storing an externally mutable object into XmlReadContext._namesToWrap"
"Dodgy code Warning","EI2","new com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator(IOContext, int, int, ObjectCodec, XMLStreamWriter) may expose internal representation by storing an externally mutable object into ToXmlGenerator._originalXmlWriter"
"Malicious code vulnerability Warning","Dm","com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase.<static initializer for XmlBeanSerializerBase>() invokes inefficient new String(String) constructor"
"Performance Warning","SF","Switch statement found in com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.nextTextValue() where default case is missing"
"Performance Warning","SF","Switch statement found in com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext.toString() where default case is missing"
"Performance Warning","SF","Switch statement found in com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream._next() where one case falls through to the next case"
