"Bug Id","Warning Type","Code","Warning"
"JacksonXml/1_buggy","Bad practice Warning","ES","Comparison of String objects using == or != in com.fasterxml.jackson.dataformat.xml.JacksonXmlModule.setupModule(Module$SetupContext)"
"JacksonXml/1_buggy","Bad practice Warning","NP","com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.isOutputAsAttribute(Annotated) has Boolean return type and returns explicit null"
"JacksonXml/1_buggy","Bad practice Warning","NP","com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.isOutputAsCData(Annotated) has Boolean return type and returns explicit null"
"JacksonXml/1_buggy","Bad practice Warning","NP","com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.isOutputAsText(Annotated) has Boolean return type and returns explicit null"
"JacksonXml/1_buggy","Bad practice Warning","NP","com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$JaxbWrapper.isOutputAsCData(Annotated) has Boolean return type and returns explicit null"
"JacksonXml/1_buggy","Bad practice Warning","NP","com.fasterxml.jackson.dataformat.xml.jaxb.XmlJaxbAnnotationIntrospector.isOutputAsCData(Annotated) has Boolean return type and returns explicit null"
"JacksonXml/1_buggy","Bad practice Warning","NP","com.fasterxml.jackson.dataformat.xml.util.AnnotationUtil.findIsAttributeAnnotation(AnnotationIntrospector, AnnotatedMember) has Boolean return type and returns explicit null"
"JacksonXml/1_buggy","Bad practice Warning","NP","com.fasterxml.jackson.dataformat.xml.util.AnnotationUtil.findIsCDataAnnotation(AnnotationIntrospector, AnnotatedMember) has Boolean return type and returns explicit null"
"JacksonXml/1_buggy","Bad practice Warning","NP","com.fasterxml.jackson.dataformat.xml.util.AnnotationUtil.findIsTextAnnotation(AnnotationIntrospector, AnnotatedMember) has Boolean return type and returns explicit null"
"JacksonXml/1_buggy","Dodgy code Warning","EI","com.fasterxml.jackson.dataformat.xml.XmlFactory.getXMLInputFactory() may expose internal representation by returning XmlFactory._xmlInputFactory"
"JacksonXml/1_buggy","Dodgy code Warning","EI","com.fasterxml.jackson.dataformat.xml.XmlFactory.getXMLOutputFactory() may expose internal representation by returning XmlFactory._xmlOutputFactory"
"JacksonXml/1_buggy","Dodgy code Warning","EI","com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getBinaryValue(Base64Variant) may expose internal representation by returning FromXmlParser._binaryValue"
"JacksonXml/1_buggy","Dodgy code Warning","EI","com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getParsingContext() may expose internal representation by returning FromXmlParser._parsingContext"
"JacksonXml/1_buggy","Dodgy code Warning","EI","com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext.createChildArrayContext(int, int) may expose internal representation by returning XmlReadContext._child"
"JacksonXml/1_buggy","Dodgy code Warning","EI","com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext.createChildObjectContext(int, int) may expose internal representation by returning XmlReadContext._child"
"JacksonXml/1_buggy","Dodgy code Warning","EI","com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext.getNamesToWrap() may expose internal representation by returning XmlReadContext._namesToWrap"
"JacksonXml/1_buggy","Dodgy code Warning","EI","com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext.getParent() may expose internal representation by returning XmlReadContext._parent"
"JacksonXml/1_buggy","Dodgy code Warning","EI","com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.getOutputTarget() may expose internal representation by returning ToXmlGenerator._originalXmlWriter"
"JacksonXml/1_buggy","Dodgy code Warning","EI2","new com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair(AnnotationIntrospector, AnnotationIntrospector) may expose internal representation by storing an externally mutable object into XmlAnnotationIntrospector$Pair._xmlPrimary"
"JacksonXml/1_buggy","Dodgy code Warning","EI2","new com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair(AnnotationIntrospector, AnnotationIntrospector) may expose internal representation by storing an externally mutable object into XmlAnnotationIntrospector$Pair._xmlSecondary"
"JacksonXml/1_buggy","Dodgy code Warning","EI2","com.fasterxml.jackson.dataformat.xml.XmlFactory.setXMLInputFactory(XMLInputFactory) may expose internal representation by storing an externally mutable object into XmlFactory._xmlInputFactory"
