"Bug Id","Warning Type","Code","Warning"
"Jsoup/1_buggy","Dodgy code Warning","EI","org.jsoup.nodes.Element.classNames() may expose internal representation by returning Element.classNames"
"Jsoup/1_buggy","Dodgy code Warning","EI","org.jsoup.nodes.Node.attributes() may expose internal representation by returning Node.attributes"
"Jsoup/1_buggy","Dodgy code Warning","EI","org.jsoup.nodes.Node.parent() may expose internal representation by returning Node.parentNode"
"Jsoup/1_buggy","Dodgy code Warning","EI2","new org.jsoup.select.Elements(List) may expose internal representation by storing an externally mutable object into Elements.contents"
"Jsoup/1_buggy","Malicious code vulnerability Warning","RV","Return value of Element.appendElement(String) ignored, is this OK in org.jsoup.nodes.Document.createShell(String)"
"Jsoup/1_buggy","Malicious code vulnerability Warning","RV","Return value of Element.appendElement(String) ignored, is this OK in org.jsoup.nodes.Document.normalise()"
"Jsoup/1_buggy","Malicious code vulnerability Warning","RV","Return value of Element.prependElement(String) ignored, is this OK in org.jsoup.nodes.Document.normalise()"
"Jsoup/2_buggy","Dodgy code Warning","EI","org.jsoup.nodes.Element.classNames() may expose internal representation by returning Element.classNames"
"Jsoup/2_buggy","Dodgy code Warning","EI","org.jsoup.nodes.Node.attributes() may expose internal representation by returning Node.attributes"
"Jsoup/2_buggy","Dodgy code Warning","EI","org.jsoup.nodes.Node.parent() may expose internal representation by returning Node.parentNode"
"Jsoup/2_buggy","Dodgy code Warning","EI2","new org.jsoup.select.Elements(List) may expose internal representation by storing an externally mutable object into Elements.contents"
"Jsoup/2_buggy","Malicious code vulnerability Warning","RV","Return value of Element.appendElement(String) ignored, is this OK in org.jsoup.nodes.Document.createShell(String)"
"Jsoup/2_buggy","Malicious code vulnerability Warning","RV","Return value of Element.appendElement(String) ignored, is this OK in org.jsoup.nodes.Document.normalise()"
"Jsoup/2_buggy","Malicious code vulnerability Warning","RV","Return value of Element.prependElement(String) ignored, is this OK in org.jsoup.nodes.Document.normalise()"
"Jsoup/3_buggy","Dodgy code Warning","EI","org.jsoup.nodes.Element.classNames() may expose internal representation by returning Element.classNames"
"Jsoup/3_buggy","Dodgy code Warning","EI","org.jsoup.nodes.Node.attributes() may expose internal representation by returning Node.attributes"
"Jsoup/3_buggy","Dodgy code Warning","EI","org.jsoup.nodes.Node.parent() may expose internal representation by returning Node.parentNode"
"Jsoup/3_buggy","Dodgy code Warning","EI2","new org.jsoup.select.Elements(List) may expose internal representation by storing an externally mutable object into Elements.contents"
"Jsoup/3_buggy","Malicious code vulnerability Warning","RV","Return value of Element.appendElement(String) ignored, is this OK in org.jsoup.nodes.Document.createShell(String)"
"Jsoup/3_buggy","Malicious code vulnerability Warning","RV","Return value of Element.appendElement(String) ignored, is this OK in org.jsoup.nodes.Document.normalise()"
"Jsoup/3_buggy","Malicious code vulnerability Warning","RV","Return value of Element.prependElement(String) ignored, is this OK in org.jsoup.nodes.Document.normalise()"
"Jsoup/4_buggy","Dodgy code Warning","EI","org.jsoup.nodes.Element.classNames() may expose internal representation by returning Element.classNames"
"Jsoup/4_buggy","Dodgy code Warning","EI","org.jsoup.nodes.Element.parent() may expose internal representation by returning Node.parentNode"
"Jsoup/4_buggy","Dodgy code Warning","EI","org.jsoup.nodes.Node.attributes() may expose internal representation by returning Node.attributes"
"Jsoup/4_buggy","Dodgy code Warning","EI","org.jsoup.nodes.Node.parent() may expose internal representation by returning Node.parentNode"
"Jsoup/4_buggy","Dodgy code Warning","EI2","new org.jsoup.nodes.Document$OutputSettings(Document) may expose internal representation by storing an externally mutable object into Document$OutputSettings.this$0"
"Jsoup/4_buggy","Dodgy code Warning","EI2","new org.jsoup.select.Elements(List) may expose internal representation by storing an externally mutable object into Elements.contents"
"Jsoup/4_buggy","Malicious code vulnerability Warning","SIC","Should org.jsoup.nodes.Document$OutputSettings be a _static_ inner class?"
"Jsoup/4_buggy","Performance Warning","Eq","org.jsoup.nodes.Document doesn't override Element.equals(Object)"
"Jsoup/4_buggy","Performance Warning","RV","Return value of Element.appendElement(String) ignored, is this OK in org.jsoup.nodes.Document.createShell(String)"
"Jsoup/4_buggy","Performance Warning","RV","Return value of Element.appendElement(String) ignored, is this OK in org.jsoup.nodes.Document.normalise()"
"Jsoup/4_buggy","Performance Warning","RV","Return value of Element.prependElement(String) ignored, is this OK in org.jsoup.nodes.Document.normalise()"
"Jsoup/4_buggy","Performance Warning","UC","Useless condition: it's known that charval <= 65535 (0xffff) at this point"
"Jsoup/4_buggy","Performance Warning","UC","Useless condition: it's known that skip >= 0 at this point"
