"Warning Type","Code","Warning"
"Bad practice Warning","Eq","org.apache.commons.jxpath.util.BasicTypeConverter$ValuePointer defines compareTo(Object) and uses Object.equals()"
"Bad practice Warning","Nm","The method name org.apache.commons.jxpath.ri.parser.TokenMgrError.LexicalError(boolean, int, int, int, String, char) doesn't start with a lower case letter"
"Bad practice Warning","Nm","The method name org.apache.commons.jxpath.ri.parser.XPathParser.AbbreviatedAxisSpecifier() doesn't start with a lower case letter"
"Bad practice Warning","Nm","The method name org.apache.commons.jxpath.ri.parser.XPathParser.AbsoluteLocationPath() doesn't start with a lower case letter"
"Bad practice Warning","Nm","The method name org.apache.commons.jxpath.ri.parser.XPathParser.AdditiveExpr() doesn't start with a lower case letter"
"Bad practice Warning","Nm","The method name org.apache.commons.jxpath.ri.parser.XPathParser.AndExpr() doesn't start with a lower case letter"
"Bad practice Warning","Nm","The method name org.apache.commons.jxpath.ri.parser.XPathParser.Argument() doesn't start with a lower case letter"
"Bad practice Warning","Nm","The method name org.apache.commons.jxpath.ri.parser.XPathParser.ArgumentList() doesn't start with a lower case letter"
"Bad practice Warning","Nm","The method name org.apache.commons.jxpath.ri.parser.XPathParser.AxisName() doesn't start with a lower case letter"
"Bad practice Warning","Nm","The method name org.apache.commons.jxpath.ri.parser.XPathParser.AxisSpecifier() doesn't start with a lower case letter"
"Bad practice Warning","Nm","The method name org.apache.commons.jxpath.ri.parser.XPathParser.CoreFunctionCall() doesn't start with a lower case letter"
"Bad practice Warning","Nm","The method name org.apache.commons.jxpath.ri.parser.XPathParser.CoreFunctionName() doesn't start with a lower case letter"
"Bad practice Warning","Nm","The method name org.apache.commons.jxpath.ri.parser.XPathParser.EqualityExpr() doesn't start with a lower case letter"
"Bad practice Warning","Nm","The method name org.apache.commons.jxpath.ri.parser.XPathParser.Expression() doesn't start with a lower case letter"
"Bad practice Warning","Nm","The method name org.apache.commons.jxpath.ri.parser.XPathParser.FilterExpr() doesn't start with a lower case letter"
"Bad practice Warning","Nm","The method name org.apache.commons.jxpath.ri.parser.XPathParser.FunctionCall() doesn't start with a lower case letter"
"Bad practice Warning","Nm","The method name org.apache.commons.jxpath.ri.parser.XPathParser.FunctionName() doesn't start with a lower case letter"
"Bad practice Warning","Nm","The method name org.apache.commons.jxpath.ri.parser.XPathParser.LocationPath() doesn't start with a lower case letter"
"Bad practice Warning","Nm","The method name org.apache.commons.jxpath.ri.parser.XPathParser.LocationStep(ArrayList) doesn't start with a lower case letter"
"Bad practice Warning","Nm","The method name org.apache.commons.jxpath.ri.parser.XPathParser.MultiplicativeExpr() doesn't start with a lower case letter"
"Bad practice Warning","Nm","The method name org.apache.commons.jxpath.ri.parser.XPathParser.NodeTest(ArrayList) doesn't start with a lower case letter"
"Bad practice Warning","Nm","The method name org.apache.commons.jxpath.ri.parser.XPathParser.NodeType() doesn't start with a lower case letter"
"Bad practice Warning","Nm","The method name org.apache.commons.jxpath.ri.parser.XPathParser.OrExpr() doesn't start with a lower case letter"
"Bad practice Warning","Nm","The method name org.apache.commons.jxpath.ri.parser.XPathParser.PathExpr() doesn't start with a lower case letter"
"Bad practice Warning","Nm","The method name org.apache.commons.jxpath.ri.parser.XPathParser.Predicate() doesn't start with a lower case letter"
"Bad practice Warning","Nm","The method name org.apache.commons.jxpath.ri.parser.XPathParser.PrimaryExpr() doesn't start with a lower case letter"
"Bad practice Warning","Nm","The method name org.apache.commons.jxpath.ri.parser.XPathParser.ReInit(InputStream) doesn't start with a lower case letter"
"Bad practice Warning","Nm","The method name org.apache.commons.jxpath.ri.parser.XPathParser.ReInit(Reader) doesn't start with a lower case letter"
"Bad practice Warning","Nm","The method name org.apache.commons.jxpath.ri.parser.XPathParser.ReInit(XPathParserTokenManager) doesn't start with a lower case letter"
"Bad practice Warning","Nm","The method name org.apache.commons.jxpath.ri.parser.XPathParser.RelationalExpr() doesn't start with a lower case letter"
"Bad practice Warning","Nm","The method name org.apache.commons.jxpath.ri.parser.XPathParser.RelativeLocationPath() doesn't start with a lower case letter"
"Bad practice Warning","Nm","The method name org.apache.commons.jxpath.ri.parser.XPathParser.SubtractiveExpr() doesn't start with a lower case letter"
"Bad practice Warning","Nm","The method name org.apache.commons.jxpath.ri.parser.XPathParser.UnaryExpr() doesn't start with a lower case letter"
"Bad practice Warning","Nm","The method name org.apache.commons.jxpath.ri.parser.XPathParser.UnionExpr() doesn't start with a lower case letter"
"Bad practice Warning","Nm","The method name org.apache.commons.jxpath.ri.parser.XPathParser.VariableReference() doesn't start with a lower case letter"
"Bad practice Warning","Nm","The method name org.apache.commons.jxpath.ri.parser.XPathParser.WildcardName() doesn't start with a lower case letter"
"Bad practice Warning","Nm","The method name org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.ReInit(SimpleCharStream) doesn't start with a lower case letter"
"Bad practice Warning","Nm","The method name org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.ReInit(SimpleCharStream, int) doesn't start with a lower case letter"
"Bad practice Warning","Nm","The method name org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.SwitchTo(int) doesn't start with a lower case letter"
"Bad practice Warning","OS","org.apache.commons.jxpath.JXPathContextFactory.findFactory(String, String) may fail to close stream"
"Bad practice Warning","Se","Class org.apache.commons.jxpath.ri.model.VariablePointer defines non-transient non-serializable instance field name"
"Bad practice Warning","Se","Class org.apache.commons.jxpath.ri.model.beans.BeanPointer defines non-transient non-serializable instance field name"
"Bad practice Warning","Se","Class org.apache.commons.jxpath.ri.model.beans.BeanPropertyPointer defines non-transient non-serializable instance field propertyDescriptor"
"Bad practice Warning","Se","Class org.apache.commons.jxpath.ri.model.beans.BeanPropertyPointer defines non-transient non-serializable instance field propertyDescriptors"
"Bad practice Warning","Se","Class org.apache.commons.jxpath.ri.model.beans.NullPointer defines non-transient non-serializable instance field name"
"Bad practice Warning","Se","Class org.apache.commons.jxpath.ri.model.dom.DOMNodePointer defines non-transient non-serializable instance field localNamespaceResolver"
"Bad practice Warning","Se","Class org.apache.commons.jxpath.ri.model.dom.DOMNodePointer defines non-transient non-serializable instance field node"
"Bad practice Warning","Se","Class org.apache.commons.jxpath.ri.model.dynabeans.DynaBeanPointer defines non-transient non-serializable instance field name"
"Bad practice Warning","Se","Class org.apache.commons.jxpath.ri.model.dynamic.DynamicPointer defines non-transient non-serializable instance field name"
"Bad practice Warning","Se","Class org.apache.commons.jxpath.ri.model.dynamic.DynamicPropertyPointer defines non-transient non-serializable instance field handler"
"Bad practice Warning","Se","Class org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer defines non-transient non-serializable instance field localNamespaceResolver"
"Correctness Warning","Eq","org.apache.commons.jxpath.ri.model.beans.NullElementPointer overrides equals in CollectionPointer and may not be symmetric"
"Correctness Warning","RCN","Nullcheck of org.apache.commons.jxpath.ri.model.NodePointer.parent at line 110 of value previously dereferenced in org.apache.commons.jxpath.ri.model.beans.PropertyOwnerPointer.setValue(Object)"
"Correctness Warning","RpC","Repeated conditional test in org.apache.commons.jxpath.ri.InfoSetUtil.booleanValue(Object)"
"Dodgy code Warning","OBL","org.apache.commons.jxpath.JXPathContextFactory.findFactory(String, String) may fail to clean up java.io.InputStream"
"Experimental Warning","Dm","Found reliance on default encoding in org.apache.commons.jxpath.JXPathContextFactory.findFactory(String, String): new java.io.InputStreamReader(InputStream)"
"Experimental Warning","Dm","Found reliance on default encoding in new org.apache.commons.jxpath.ri.parser.SimpleCharStream(InputStream, int, int, int): new java.io.InputStreamReader(InputStream)"
"Experimental Warning","Dm","Found reliance on default encoding in org.apache.commons.jxpath.ri.parser.SimpleCharStream.ReInit(InputStream, int, int, int): new java.io.InputStreamReader(InputStream)"
"Internationalization Warning","EI","org.apache.commons.jxpath.BasicNodeSet.getNodes() may expose internal representation by returning BasicNodeSet.nodes"
"Internationalization Warning","EI","org.apache.commons.jxpath.BasicNodeSet.getValues() may expose internal representation by returning BasicNodeSet.values"
"Internationalization Warning","EI","org.apache.commons.jxpath.JXPathBasicBeanInfo.getPropertyDescriptors() may expose internal representation by returning JXPathBasicBeanInfo.propertyDescriptors"
"Internationalization Warning","EI","org.apache.commons.jxpath.JXPathContext.getParentContext() may expose internal representation by returning JXPathContext.parentContext"
"Internationalization Warning","EI","org.apache.commons.jxpath.JXPathContextFactoryConfigurationError.getException() may expose internal representation by returning JXPathContextFactoryConfigurationError.exception"
"Internationalization Warning","EI","org.apache.commons.jxpath.JXPathException.getCause() may expose internal representation by returning JXPathException.exception"
"Internationalization Warning","EI","org.apache.commons.jxpath.JXPathException.getException() may expose internal representation by returning JXPathException.exception"
"Internationalization Warning","EI","org.apache.commons.jxpath.ri.EvalContext.getRootContext() may expose internal representation by returning EvalContext.rootContext"
"Internationalization Warning","EI","org.apache.commons.jxpath.ri.JXPathContextReferenceImpl.getContextPointer() may expose internal representation by returning JXPathContextReferenceImpl.contextPointer"
"Internationalization Warning","EI","org.apache.commons.jxpath.ri.JXPathContextReferenceImpl.getNamespaceResolver() may expose internal representation by returning JXPathContextReferenceImpl.namespaceResolver"
"Internationalization Warning","EI","org.apache.commons.jxpath.ri.NamespaceResolver.getNamespaceContextPointer() may expose internal representation by returning NamespaceResolver.pointer"
"Internationalization Warning","EI","org.apache.commons.jxpath.ri.axes.AncestorContext.getCurrentNodePointer() may expose internal representation by returning AncestorContext.currentNodePointer"
"Internationalization Warning","EI","org.apache.commons.jxpath.ri.axes.AttributeContext.getCurrentNodePointer() may expose internal representation by returning AttributeContext.currentNodePointer"
"Internationalization Warning","EI","org.apache.commons.jxpath.ri.axes.DescendantContext.getCurrentNodePointer() may expose internal representation by returning DescendantContext.currentNodePointer"
"Internationalization Warning","EI","org.apache.commons.jxpath.ri.axes.InitialContext.getCurrentNodePointer() may expose internal representation by returning InitialContext.nodePointer"
"Internationalization Warning","EI","org.apache.commons.jxpath.ri.axes.InitialContext.getSingleNodePointer() may expose internal representation by returning InitialContext.nodePointer"
"Internationalization Warning","EI","org.apache.commons.jxpath.ri.axes.NamespaceContext.getCurrentNodePointer() may expose internal representation by returning NamespaceContext.currentNodePointer"
"Internationalization Warning","EI","org.apache.commons.jxpath.ri.axes.ParentContext.getCurrentNodePointer() may expose internal representation by returning ParentContext.currentNodePointer"
"Internationalization Warning","EI","org.apache.commons.jxpath.ri.axes.PrecedingOrFollowingContext.getCurrentNodePointer() may expose internal representation by returning PrecedingOrFollowingContext.currentNodePointer"
"Internationalization Warning","EI","org.apache.commons.jxpath.ri.axes.RootContext.getCurrentNodePointer() may expose internal representation by returning RootContext.pointer"
"Internationalization Warning","EI","org.apache.commons.jxpath.ri.axes.RootContext.getJXPathContext() may expose internal representation by returning RootContext.jxpathContext"
"Internationalization Warning","EI","org.apache.commons.jxpath.ri.axes.RootContext.getValue() may expose internal representation by returning RootContext.pointer"
"Internationalization Warning","EI","org.apache.commons.jxpath.ri.axes.SelfContext.getCurrentNodePointer() may expose internal representation by returning SelfContext.nodePointer"
"Internationalization Warning","EI","org.apache.commons.jxpath.ri.compiler.ExpressionPath.getPredicates() may expose internal representation by returning ExpressionPath.predicates"
"Internationalization Warning","EI","org.apache.commons.jxpath.ri.compiler.Operation.getArguments() may expose internal representation by returning Operation.args"
"Internationalization Warning","EI","org.apache.commons.jxpath.ri.compiler.Path.getSteps() may expose internal representation by returning Path.steps"
"Internationalization Warning","EI","org.apache.commons.jxpath.ri.compiler.Step.getPredicates() may expose internal representation by returning Step.predicates"
"Internationalization Warning","EI","org.apache.commons.jxpath.ri.model.NodePointer.getImmediateParentPointer() may expose internal representation by returning NodePointer.parent"
"Internationalization Warning","EI","org.apache.commons.jxpath.ri.model.NodePointer.getNamespaceResolver() may expose internal representation by returning NodePointer.namespaceResolver"
"Internationalization Warning","EI","org.apache.commons.jxpath.ri.model.VariablePointer.getImmediateValuePointer() may expose internal representation by returning VariablePointer.valuePointer"
"Internationalization Warning","EI","org.apache.commons.jxpath.ri.model.VariablePointerFactory$VariableContextWrapper.getContext() may expose internal representation by returning VariablePointerFactory$VariableContextWrapper.context"
"Internationalization Warning","EI","org.apache.commons.jxpath.ri.model.beans.BeanPropertyPointer.getPropertyNames() may expose internal representation by returning BeanPropertyPointer.names"
"Internationalization Warning","EI","org.apache.commons.jxpath.ri.model.beans.CollectionPointer.getValuePointer() may expose internal representation by returning CollectionPointer.valuePointer"
"Internationalization Warning","EI","org.apache.commons.jxpath.ri.model.container.ContainerPointer.getBaseValue() may expose internal representation by returning ContainerPointer.container"
"Internationalization Warning","EI","org.apache.commons.jxpath.ri.model.container.ContainerPointer.getImmediateValuePointer() may expose internal representation by returning ContainerPointer.valuePointer"
"Internationalization Warning","EI","org.apache.commons.jxpath.ri.model.dom.DOMAttributePointer.getBaseValue() may expose internal representation by returning DOMAttributePointer.attr"
"Internationalization Warning","EI","org.apache.commons.jxpath.ri.model.dom.DOMAttributePointer.getImmediateNode() may expose internal representation by returning DOMAttributePointer.attr"
"Internationalization Warning","EI","org.apache.commons.jxpath.ri.model.dom.DOMNodePointer.getBaseValue() may expose internal representation by returning DOMNodePointer.node"
"Internationalization Warning","EI","org.apache.commons.jxpath.ri.model.dom.DOMNodePointer.getImmediateNode() may expose internal representation by returning DOMNodePointer.node"
"Internationalization Warning","EI","org.apache.commons.jxpath.ri.model.dom.DOMNodePointer.getNamespaceResolver() may expose internal representation by returning DOMNodePointer.localNamespaceResolver"
"Internationalization Warning","EI","org.apache.commons.jxpath.ri.model.dynabeans.DynaBeanPropertyPointer.getPropertyNames() may expose internal representation by returning DynaBeanPropertyPointer.names"
"Internationalization Warning","EI","org.apache.commons.jxpath.ri.model.dynamic.DynamicPropertyPointer.getPropertyNames() may expose internal representation by returning DynamicPropertyPointer.names"
"Internationalization Warning","EI","org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer.getNamespaceResolver() may expose internal representation by returning JDOMNodePointer.localNamespaceResolver"
"Internationalization Warning","EI2","new org.apache.commons.jxpath.JXPathContextFactoryConfigurationError(Exception) may expose internal representation by storing an externally mutable object into JXPathContextFactoryConfigurationError.exception"
"Internationalization Warning","EI2","new org.apache.commons.jxpath.JXPathContextFactoryConfigurationError(Exception, String) may expose internal representation by storing an externally mutable object into JXPathContextFactoryConfigurationError.exception"
"Internationalization Warning","EI2","new org.apache.commons.jxpath.JXPathException(String, Throwable) may expose internal representation by storing an externally mutable object into JXPathException.exception"
"Internationalization Warning","EI2","new org.apache.commons.jxpath.JXPathException(Throwable) may expose internal representation by storing an externally mutable object into JXPathException.exception"
"Internationalization Warning","EI2","new org.apache.commons.jxpath.XMLDocumentContainer(Source) may expose internal representation by storing an externally mutable object into XMLDocumentContainer.source"
"Internationalization Warning","EI2","new org.apache.commons.jxpath.functions.ConstructorFunction(Constructor) may expose internal representation by storing an externally mutable object into ConstructorFunction.constructor"
"Internationalization Warning","EI2","new org.apache.commons.jxpath.ri.EvalContext(EvalContext) may expose internal representation by storing an externally mutable object into EvalContext.parentContext"
"Internationalization Warning","EI2","new org.apache.commons.jxpath.ri.JXPathContextReferenceImpl(JXPathContext, Object, Pointer) may expose internal representation by storing an externally mutable object into JXPathContextReferenceImpl.contextPointer"
"Internationalization Warning","EI2","new org.apache.commons.jxpath.ri.NamespaceResolver(NamespaceResolver) may expose internal representation by storing an externally mutable object into NamespaceResolver.parent"
"Internationalization Warning","EI2","org.apache.commons.jxpath.ri.NamespaceResolver.setNamespaceContextPointer(NodePointer) may expose internal representation by storing an externally mutable object into NamespaceResolver.pointer"
"Internationalization Warning","EI2","new org.apache.commons.jxpath.ri.axes.RootContext(JXPathContextReferenceImpl, NodePointer) may expose internal representation by storing an externally mutable object into RootContext.jxpathContext"
"Internationalization Warning","EI2","new org.apache.commons.jxpath.ri.axes.RootContext(JXPathContextReferenceImpl, NodePointer) may expose internal representation by storing an externally mutable object into RootContext.pointer"
"Internationalization Warning","EI2","new org.apache.commons.jxpath.ri.axes.UnionContext(EvalContext, EvalContext[]) may expose internal representation by storing an externally mutable object into UnionContext.contexts"
"Internationalization Warning","EI2","new org.apache.commons.jxpath.ri.compiler.Expression$PointerIterator(Iterator, QName, Locale) may expose internal representation by storing an externally mutable object into Expression$PointerIterator.iterator"
"Internationalization Warning","EI2","new org.apache.commons.jxpath.ri.compiler.Expression$ValueIterator(Iterator) may expose internal representation by storing an externally mutable object into Expression$ValueIterator.iterator"
"Internationalization Warning","EI2","new org.apache.commons.jxpath.ri.compiler.ExpressionPath(Expression, Expression[], Step[]) may expose internal representation by storing an externally mutable object into ExpressionPath.predicates"
"Internationalization Warning","EI2","new org.apache.commons.jxpath.ri.compiler.Operation(Expression[]) may expose internal representation by storing an externally mutable object into Operation.args"
"Internationalization Warning","EI2","new org.apache.commons.jxpath.ri.compiler.Path(Step[]) may expose internal representation by storing an externally mutable object into Path.steps"
"Internationalization Warning","EI2","org.apache.commons.jxpath.ri.model.NodePointer.setNamespaceResolver(NamespaceResolver) may expose internal representation by storing an externally mutable object into NodePointer.namespaceResolver"
"Internationalization Warning","EI2","new org.apache.commons.jxpath.ri.model.beans.BeanAttributeIterator(PropertyOwnerPointer, QName) may expose internal representation by storing an externally mutable object into BeanAttributeIterator.parent"
"Internationalization Warning","EI2","org.apache.commons.jxpath.ri.model.beans.CollectionPointer.getValuePointer() may expose internal representation by storing an externally mutable object into CollectionPointer.valuePointer"
"Internationalization Warning","EI2","new org.apache.commons.jxpath.ri.model.container.ContainerPointer(Container, Locale) may expose internal representation by storing an externally mutable object into ContainerPointer.container"
"Internationalization Warning","EI2","new org.apache.commons.jxpath.ri.model.container.ContainerPointer(NodePointer, Container) may expose internal representation by storing an externally mutable object into ContainerPointer.container"
"Internationalization Warning","EI2","new org.apache.commons.jxpath.ri.model.dom.DOMAttributeIterator(NodePointer, QName) may expose internal representation by storing an externally mutable object into DOMAttributeIterator.parent"
"Internationalization Warning","EI2","new org.apache.commons.jxpath.ri.model.dom.DOMAttributePointer(NodePointer, Attr) may expose internal representation by storing an externally mutable object into DOMAttributePointer.attr"
"Internationalization Warning","EI2","new org.apache.commons.jxpath.ri.model.dom.DOMNamespaceIterator(NodePointer) may expose internal representation by storing an externally mutable object into DOMNamespaceIterator.parent"
"Internationalization Warning","EI2","new org.apache.commons.jxpath.ri.model.dom.DOMNodeIterator(NodePointer, NodeTest, boolean, NodePointer) may expose internal representation by storing an externally mutable object into DOMNodeIterator.parent"
"Internationalization Warning","EI2","new org.apache.commons.jxpath.ri.model.dom.DOMNodePointer(NodePointer, Node) may expose internal representation by storing an externally mutable object into DOMNodePointer.node"
"Internationalization Warning","EI2","new org.apache.commons.jxpath.ri.model.dom.DOMNodePointer(Node, Locale) may expose internal representation by storing an externally mutable object into DOMNodePointer.node"
"Internationalization Warning","EI2","new org.apache.commons.jxpath.ri.model.dom.DOMNodePointer(Node, Locale, String) may expose internal representation by storing an externally mutable object into DOMNodePointer.node"
"Internationalization Warning","EI2","new org.apache.commons.jxpath.ri.model.dynamic.DynamicPointer(QName, Object, DynamicPropertyHandler, Locale) may expose internal representation by storing an externally mutable object into DynamicPointer.handler"
"Internationalization Warning","EI2","new org.apache.commons.jxpath.ri.model.dynamic.DynamicPointer(NodePointer, QName, Object, DynamicPropertyHandler) may expose internal representation by storing an externally mutable object into DynamicPointer.handler"
"Internationalization Warning","EI2","new org.apache.commons.jxpath.ri.model.dynamic.DynamicPropertyPointer(NodePointer, DynamicPropertyHandler) may expose internal representation by storing an externally mutable object into DynamicPropertyPointer.handler"
"Internationalization Warning","EI2","new org.apache.commons.jxpath.ri.model.jdom.JDOMAttributeIterator(NodePointer, QName) may expose internal representation by storing an externally mutable object into JDOMAttributeIterator.parent"
"Internationalization Warning","EI2","new org.apache.commons.jxpath.ri.model.jdom.JDOMNamespaceIterator(NodePointer) may expose internal representation by storing an externally mutable object into JDOMNamespaceIterator.parent"
"Internationalization Warning","EI2","new org.apache.commons.jxpath.ri.model.jdom.JDOMNodeIterator(NodePointer, NodeTest, boolean, NodePointer) may expose internal representation by storing an externally mutable object into JDOMNodeIterator.parent"
