"Warning Type","Code","Warning"
"Bad practice Warning","BC","Equals method for org.apache.commons.lang3.time.FormatCache$MultipartKey assumes the argument is of type FormatCache$MultipartKey"
"Bad practice Warning","ES","Comparison of String objects using == or != in org.apache.commons.lang3.time.DurationFormatUtils.format(DurationFormatUtils$Token[], int, int, int, int, int, int, int, boolean)"
"Bad practice Warning","ES","Comparison of String objects using == or != in org.apache.commons.lang3.time.DurationFormatUtils.format(DurationFormatUtils$Token[], int, int, int, int, int, int, int, boolean)"
"Bad practice Warning","ES","Comparison of String objects using == or != in org.apache.commons.lang3.time.DurationFormatUtils.format(DurationFormatUtils$Token[], int, int, int, int, int, int, int, boolean)"
"Bad practice Warning","ES","Comparison of String objects using == or != in org.apache.commons.lang3.time.DurationFormatUtils.format(DurationFormatUtils$Token[], int, int, int, int, int, int, int, boolean)"
"Bad practice Warning","ES","Comparison of String objects using == or != in org.apache.commons.lang3.time.DurationFormatUtils.format(DurationFormatUtils$Token[], int, int, int, int, int, int, int, boolean)"
"Bad practice Warning","ES","Comparison of String objects using == or != in org.apache.commons.lang3.time.DurationFormatUtils.format(DurationFormatUtils$Token[], int, int, int, int, int, int, int, boolean)"
"Bad practice Warning","ES","Comparison of String objects using == or != in org.apache.commons.lang3.time.DurationFormatUtils.format(DurationFormatUtils$Token[], int, int, int, int, int, int, int, boolean)"
"Bad practice Warning","ES","Comparison of String objects using == or != in org.apache.commons.lang3.time.DurationFormatUtils.lexx(String)"
"Bad practice Warning","NP","org.apache.commons.lang3.time.FormatCache$MultipartKey.equals(Object) does not check for null argument"
"Correctness Warning","RpC","Repeated conditional test in org.apache.commons.lang3.math.NumberUtils.createBigInteger(String)"
"Dodgy code Warning","Dm","Found reliance on default encoding in org.apache.commons.lang3.StringUtils.toString(byte[], String): new String(byte[])"
"Internationalization Warning","EI","org.apache.commons.lang3.builder.ToStringBuilder.getStringBuffer() may expose internal representation by returning ToStringBuilder.buffer"
"Internationalization Warning","EI","org.apache.commons.lang3.builder.ToStringBuilder.getStyle() may expose internal representation by returning ToStringBuilder.style"
"Internationalization Warning","EI","org.apache.commons.lang3.exception.DefaultExceptionContext.getContextEntries() may expose internal representation by returning DefaultExceptionContext.contextValues"
"Internationalization Warning","EI","org.apache.commons.lang3.time.FastDateParser.getTimeZone() may expose internal representation by returning FastDateParser.timeZone"
"Internationalization Warning","EI","org.apache.commons.lang3.time.FastDatePrinter.getTimeZone() may expose internal representation by returning FastDatePrinter.mTimeZone"
"Internationalization Warning","EI2","new org.apache.commons.lang3.text.ExtendedMessageFormat(String, Locale, Map) may expose internal representation by storing an externally mutable object into ExtendedMessageFormat.registry"
"Internationalization Warning","MS","org.apache.commons.lang3.builder.ToStringBuilder.setDefaultStyle(ToStringStyle) may expose internal static state by storing a mutable object into a static field org.apache.commons.lang3.builder.ToStringBuilder.defaultStyle"
"Internationalization Warning","MS","Public static org.apache.commons.lang3.builder.ToStringBuilder.getDefaultStyle() may expose internal representation by returning ToStringBuilder.defaultStyle"
"Internationalization Warning","REFLF","Public method org.apache.commons.lang3.reflect.FieldUtils.getDeclaredField(Class, String, boolean) uses reflection to modify a field it gets in its parameter which could increase the accessibility of any class."
"Internationalization Warning","REFLF","Public method org.apache.commons.lang3.reflect.FieldUtils.getField(Class, String, boolean) uses reflection to modify a field it gets in its parameter which could increase the accessibility of any class."
"Malicious code vulnerability Warning","WMI","org.apache.commons.lang3.ClassUtils.<static initializer for ClassUtils>() makes inefficient use of keySet iterator instead of entrySet iterator"
"Performance Warning","DCN","Do not catch NullPointerException like in org.apache.commons.lang3.BooleanUtils.and(Boolean[])"
"Performance Warning","DCN","Do not catch NullPointerException like in org.apache.commons.lang3.BooleanUtils.or(Boolean[])"
"Performance Warning","DCN","Do not catch NullPointerException like in org.apache.commons.lang3.BooleanUtils.xor(Boolean[])"
"Performance Warning","SF","Switch statement found in org.apache.commons.lang3.math.NumberUtils.createNumber(String) where default case is missing"
"Performance Warning","SF","Switch statement found in org.apache.commons.lang3.text.ExtendedMessageFormat.parseFormatDescription(String, ParsePosition) where default case is missing"
"Performance Warning","SF","Switch statement found in org.apache.commons.lang3.time.DateUtils.getFragment(Calendar, int, int) where default case is missing"
"Performance Warning","SF","Switch statement found in org.apache.commons.lang3.time.DateUtils.iterator(Calendar, int) where default case is missing"
"Performance Warning","SF","Switch statement found in org.apache.commons.lang3.time.DateUtils.modify(Calendar, int, int) where default case is missing"
"Performance Warning","SF","Switch statement found in org.apache.commons.lang3.time.FastDateParser.escapeRegex(StringBuilder, String, boolean) where default case is missing"
"Performance Warning","SF","Switch statement found in org.apache.commons.lang3.time.FastDateParser.getStrategy(String, Calendar) where default case is missing"
