"Warning Type","Code","Warning"
"Bad practice Warning","DMI","Random object created and used only once in org.apache.commons.math.random.RandomDataImpl.getSecRan()"
"Bad practice Warning","DMI","Random object created and used only once in org.apache.commons.math.random.RandomDataImpl.reSeedSecure()"
"Bad practice Warning","DMI","Random object created and used only once in org.apache.commons.math.random.RandomDataImpl.reSeedSecure(long)"
"Correctness Warning","FL","Using floating-point loop counters can lead to unexpected behavior."
"Internationalization Warning","Dm","Found reliance on default encoding in org.apache.commons.math.MathException.printStackTrace(PrintStream): new java.io.PrintWriter(OutputStream, boolean)"
"Internationalization Warning","Dm","Found reliance on default encoding in org.apache.commons.math.random.EmpiricalDistributionImpl.load(File): new java.io.FileReader(File)"
"Internationalization Warning","Dm","Found reliance on default encoding in org.apache.commons.math.random.EmpiricalDistributionImpl.load(URL): new java.io.InputStreamReader(InputStream)"
"Internationalization Warning","Dm","Found reliance on default encoding in org.apache.commons.math.random.ValueServer.resetReplayFile(): new java.io.InputStreamReader(InputStream)"
"Malicious code vulnerability Warning","EI","org.apache.commons.math.MathException.getCause() may expose internal representation by returning MathException.rootCause"
"Malicious code vulnerability Warning","EI","org.apache.commons.math.complex.ComplexFormat.getImaginaryFormat() may expose internal representation by returning ComplexFormat.imaginaryFormat"
"Malicious code vulnerability Warning","EI","org.apache.commons.math.complex.ComplexFormat.getRealFormat() may expose internal representation by returning ComplexFormat.realFormat"
"Malicious code vulnerability Warning","EI","org.apache.commons.math.fraction.FractionFormat.getDenominatorFormat() may expose internal representation by returning FractionFormat.denominatorFormat"
"Malicious code vulnerability Warning","EI","org.apache.commons.math.fraction.FractionFormat.getNumeratorFormat() may expose internal representation by returning FractionFormat.numeratorFormat"
"Malicious code vulnerability Warning","EI","org.apache.commons.math.fraction.ProperFractionFormat.getWholeFormat() may expose internal representation by returning ProperFractionFormat.wholeFormat"
"Malicious code vulnerability Warning","EI","org.apache.commons.math.random.CorrelatedRandomVectorGenerator.getRootMatrix() may expose internal representation by returning CorrelatedRandomVectorGenerator.root"
"Malicious code vulnerability Warning","EI","org.apache.commons.math.random.EmpiricalDistributionImpl.getBinStats() may expose internal representation by returning EmpiricalDistributionImpl.binStats"
"Malicious code vulnerability Warning","EI","org.apache.commons.math.random.EmpiricalDistributionImpl.getSampleStats() may expose internal representation by returning EmpiricalDistributionImpl.sampleStats"
"Malicious code vulnerability Warning","EI","org.apache.commons.math.stat.descriptive.SummaryStatistics.getGeoMeanImpl() may expose internal representation by returning SummaryStatistics.geoMeanImpl"
"Malicious code vulnerability Warning","EI","org.apache.commons.math.stat.descriptive.SummaryStatistics.getMaxImpl() may expose internal representation by returning SummaryStatistics.maxImpl"
"Malicious code vulnerability Warning","EI","org.apache.commons.math.stat.descriptive.SummaryStatistics.getMeanImpl() may expose internal representation by returning SummaryStatistics.meanImpl"
"Malicious code vulnerability Warning","EI","org.apache.commons.math.stat.descriptive.SummaryStatistics.getMinImpl() may expose internal representation by returning SummaryStatistics.minImpl"
"Malicious code vulnerability Warning","EI","org.apache.commons.math.stat.descriptive.SummaryStatistics.getSumImpl() may expose internal representation by returning SummaryStatistics.sumImpl"
"Malicious code vulnerability Warning","EI","org.apache.commons.math.stat.descriptive.SummaryStatistics.getSumLogImpl() may expose internal representation by returning SummaryStatistics.sumLogImpl"
"Malicious code vulnerability Warning","EI","org.apache.commons.math.stat.descriptive.SummaryStatistics.getSumsqImpl() may expose internal representation by returning SummaryStatistics.sumsqImpl"
"Malicious code vulnerability Warning","EI","org.apache.commons.math.stat.descriptive.SummaryStatistics.getVarianceImpl() may expose internal representation by returning SummaryStatistics.varianceImpl"
"Malicious code vulnerability Warning","EI","org.apache.commons.math.stat.descriptive.moment.GeometricMean.getSumLogImpl() may expose internal representation by returning GeometricMean.sumOfLogs"
"Malicious code vulnerability Warning","EI2","new org.apache.commons.math.MathException(String, Throwable) may expose internal representation by storing an externally mutable object into MathException.rootCause"
"Malicious code vulnerability Warning","EI2","new org.apache.commons.math.MathException(String, Object[], Throwable) may expose internal representation by storing an externally mutable object into MathException.rootCause"
"Malicious code vulnerability Warning","EI2","new org.apache.commons.math.MathException(Throwable) may expose internal representation by storing an externally mutable object into MathException.rootCause"
"Malicious code vulnerability Warning","EI2","org.apache.commons.math.complex.ComplexFormat.setImaginaryFormat(NumberFormat) may expose internal representation by storing an externally mutable object into ComplexFormat.imaginaryFormat"
"Malicious code vulnerability Warning","EI2","org.apache.commons.math.complex.ComplexFormat.setRealFormat(NumberFormat) may expose internal representation by storing an externally mutable object into ComplexFormat.realFormat"
"Malicious code vulnerability Warning","EI2","org.apache.commons.math.distribution.ChiSquaredDistributionImpl.setGamma(GammaDistribution) may expose internal representation by storing an externally mutable object into ChiSquaredDistributionImpl.gamma"
"Malicious code vulnerability Warning","EI2","org.apache.commons.math.distribution.PoissonDistributionImpl.setNormal(NormalDistribution) may expose internal representation by storing an externally mutable object into PoissonDistributionImpl.normal"
"Malicious code vulnerability Warning","EI2","new org.apache.commons.math.fraction.FractionFormat(NumberFormat, NumberFormat) may expose internal representation by storing an externally mutable object into FractionFormat.denominatorFormat"
"Malicious code vulnerability Warning","EI2","new org.apache.commons.math.fraction.FractionFormat(NumberFormat, NumberFormat) may expose internal representation by storing an externally mutable object into FractionFormat.numeratorFormat"
"Malicious code vulnerability Warning","EI2","org.apache.commons.math.fraction.FractionFormat.setDenominatorFormat(NumberFormat) may expose internal representation by storing an externally mutable object into FractionFormat.denominatorFormat"
"Malicious code vulnerability Warning","EI2","org.apache.commons.math.fraction.FractionFormat.setNumeratorFormat(NumberFormat) may expose internal representation by storing an externally mutable object into FractionFormat.numeratorFormat"
"Malicious code vulnerability Warning","EI2","org.apache.commons.math.fraction.ProperFractionFormat.setWholeFormat(NumberFormat) may expose internal representation by storing an externally mutable object into ProperFractionFormat.wholeFormat"
"Malicious code vulnerability Warning","EI2","new org.apache.commons.math.ode.AdaptiveStepsizeIntegrator(double, double, double[], double[]) may expose internal representation by storing an externally mutable object into AdaptiveStepsizeIntegrator.vecAbsoluteTolerance"
"Malicious code vulnerability Warning","EI2","new org.apache.commons.math.ode.AdaptiveStepsizeIntegrator(double, double, double[], double[]) may expose internal representation by storing an externally mutable object into AdaptiveStepsizeIntegrator.vecRelativeTolerance"
"Malicious code vulnerability Warning","EI2","new org.apache.commons.math.random.GaussianRandomGenerator(RandomGenerator) may expose internal representation by storing an externally mutable object into GaussianRandomGenerator.generator"
"Malicious code vulnerability Warning","EI2","new org.apache.commons.math.random.RandomAdaptor(RandomGenerator) may expose internal representation by storing an externally mutable object into RandomAdaptor.randomGenerator"
"Malicious code vulnerability Warning","EI2","new org.apache.commons.math.random.RandomDataImpl(RandomGenerator) may expose internal representation by storing an externally mutable object into RandomDataImpl.rand"
"Malicious code vulnerability Warning","EI2","new org.apache.commons.math.random.UniformRandomGenerator(RandomGenerator) may expose internal representation by storing an externally mutable object into UniformRandomGenerator.generator"
"Malicious code vulnerability Warning","EI2","org.apache.commons.math.stat.descriptive.SummaryStatistics.setGeoMeanImpl(StorelessUnivariateStatistic) may expose internal representation by storing an externally mutable object into SummaryStatistics.geoMeanImpl"
"Malicious code vulnerability Warning","EI2","org.apache.commons.math.stat.descriptive.SummaryStatistics.setMaxImpl(StorelessUnivariateStatistic) may expose internal representation by storing an externally mutable object into SummaryStatistics.maxImpl"
"Malicious code vulnerability Warning","EI2","org.apache.commons.math.stat.descriptive.SummaryStatistics.setMeanImpl(StorelessUnivariateStatistic) may expose internal representation by storing an externally mutable object into SummaryStatistics.meanImpl"
"Malicious code vulnerability Warning","EI2","org.apache.commons.math.stat.descriptive.SummaryStatistics.setMinImpl(StorelessUnivariateStatistic) may expose internal representation by storing an externally mutable object into SummaryStatistics.minImpl"
"Malicious code vulnerability Warning","EI2","org.apache.commons.math.stat.descriptive.SummaryStatistics.setSumImpl(StorelessUnivariateStatistic) may expose internal representation by storing an externally mutable object into SummaryStatistics.sumImpl"
"Malicious code vulnerability Warning","EI2","org.apache.commons.math.stat.descriptive.SummaryStatistics.setSumLogImpl(StorelessUnivariateStatistic) may expose internal representation by storing an externally mutable object into SummaryStatistics.sumLogImpl"
"Malicious code vulnerability Warning","EI2","org.apache.commons.math.stat.descriptive.SummaryStatistics.setSumsqImpl(StorelessUnivariateStatistic) may expose internal representation by storing an externally mutable object into SummaryStatistics.sumsqImpl"
"Malicious code vulnerability Warning","EI2","org.apache.commons.math.stat.descriptive.SummaryStatistics.setVarianceImpl(StorelessUnivariateStatistic) may expose internal representation by storing an externally mutable object into SummaryStatistics.varianceImpl"
"Malicious code vulnerability Warning","EI2","new org.apache.commons.math.stat.descriptive.moment.GeometricMean(SumOfLogs) may expose internal representation by storing an externally mutable object into GeometricMean.sumOfLogs"
"Malicious code vulnerability Warning","EI2","org.apache.commons.math.stat.descriptive.moment.GeometricMean.setSumLogImpl(StorelessUnivariateStatistic) may expose internal representation by storing an externally mutable object into GeometricMean.sumOfLogs"
