"Bug Id","Warning Type","Code","Warning"
"Math/1_buggy","Bad practice Warning","CNT","Rough value of Math.PI found: 3.141592653489793"
"Math/1_buggy","Bad practice Warning","CNT","Rough value of Math.PI found: 3.141592653489793"
"Math/1_buggy","Bad practice Warning","CNT","Rough value of Math.PI/2 found: 1.570796251296997"
"Math/1_buggy","Bad practice Warning","Co","org.apache.commons.math3.fitting.GaussianCurveFitter$ParameterGuesser$1.compare(WeightedObservedPoint, WeightedObservedPoint) incorrectly handles double value"
"Math/1_buggy","Bad practice Warning","Co","org.apache.commons.math3.fitting.GaussianCurveFitter$ParameterGuesser$1.compare(WeightedObservedPoint, WeightedObservedPoint) incorrectly handles double value"
"Math/1_buggy","Bad practice Warning","Co","org.apache.commons.math3.fitting.GaussianCurveFitter$ParameterGuesser$1.compare(WeightedObservedPoint, WeightedObservedPoint) incorrectly handles double value"
"Math/1_buggy","Bad practice Warning","Co","org.apache.commons.math3.fitting.GaussianFitter$ParameterGuesser$1.compare(WeightedObservedPoint, WeightedObservedPoint) incorrectly handles double value"
"Math/1_buggy","Bad practice Warning","Co","org.apache.commons.math3.fitting.GaussianFitter$ParameterGuesser$1.compare(WeightedObservedPoint, WeightedObservedPoint) incorrectly handles double value"
"Math/1_buggy","Bad practice Warning","Co","org.apache.commons.math3.fitting.GaussianFitter$ParameterGuesser$1.compare(WeightedObservedPoint, WeightedObservedPoint) incorrectly handles double value"
"Math/1_buggy","Bad practice Warning","Co","org.apache.commons.math3.optimization.fitting.GaussianFitter$ParameterGuesser$1.compare(WeightedObservedPoint, WeightedObservedPoint) incorrectly handles double value"
"Math/1_buggy","Bad practice Warning","Co","org.apache.commons.math3.optimization.fitting.GaussianFitter$ParameterGuesser$1.compare(WeightedObservedPoint, WeightedObservedPoint) incorrectly handles double value"
"Math/1_buggy","Bad practice Warning","Co","org.apache.commons.math3.optimization.fitting.GaussianFitter$ParameterGuesser$1.compare(WeightedObservedPoint, WeightedObservedPoint) incorrectly handles double value"
"Math/1_buggy","Bad practice Warning","It","org.apache.commons.math3.util.MultidimensionalCounter$Iterator.next() cannot throw NoSuchElementException"
"Math/1_buggy","Correctness Warning","FL","Using floating-point loop counters can lead to unexpected behavior."
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.complex.ComplexFormat.getImaginaryFormat() may expose internal representation by returning ComplexFormat.imaginaryFormat"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.complex.ComplexFormat.getRealFormat() may expose internal representation by returning ComplexFormat.realFormat"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.dfp.BracketingNthOrderBrentSolverDFP.getAbsoluteAccuracy() may expose internal representation by returning BracketingNthOrderBrentSolverDFP.absoluteAccuracy"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.dfp.BracketingNthOrderBrentSolverDFP.getFunctionValueAccuracy() may expose internal representation by returning BracketingNthOrderBrentSolverDFP.functionValueAccuracy"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.dfp.BracketingNthOrderBrentSolverDFP.getRelativeAccuracy() may expose internal representation by returning BracketingNthOrderBrentSolverDFP.relativeAccuracy"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.dfp.Dfp.getField() may expose internal representation by returning Dfp.field"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.dfp.DfpField.getE() may expose internal representation by returning DfpField.e"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.dfp.DfpField.getLn10() may expose internal representation by returning DfpField.ln10"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.dfp.DfpField.getLn2() may expose internal representation by returning DfpField.ln2"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.dfp.DfpField.getLn5() may expose internal representation by returning DfpField.ln5"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.dfp.DfpField.getOne() may expose internal representation by returning DfpField.one"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.dfp.DfpField.getPi() may expose internal representation by returning DfpField.pi"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.dfp.DfpField.getSqr2() may expose internal representation by returning DfpField.sqr2"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.dfp.DfpField.getSqr2Reciprocal() may expose internal representation by returning DfpField.sqr2Reciprocal"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.dfp.DfpField.getSqr3() may expose internal representation by returning DfpField.sqr3"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.dfp.DfpField.getSqr3Reciprocal() may expose internal representation by returning DfpField.sqr3Reciprocal"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.dfp.DfpField.getTwo() may expose internal representation by returning DfpField.two"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.dfp.DfpField.getZero() may expose internal representation by returning DfpField.zero"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.exception.MathArithmeticException.getContext() may expose internal representation by returning MathArithmeticException.context"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.exception.MathIllegalArgumentException.getContext() may expose internal representation by returning MathIllegalArgumentException.context"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.exception.MathIllegalStateException.getContext() may expose internal representation by returning MathIllegalStateException.context"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.exception.MathRuntimeException.getContext() may expose internal representation by returning MathRuntimeException.context"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.exception.MathUnsupportedOperationException.getContext() may expose internal representation by returning MathUnsupportedOperationException.context"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.exception.util.ExceptionContext.getThrowable() may expose internal representation by returning ExceptionContext.throwable"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.filter.DefaultMeasurementModel.getMeasurementMatrix() may expose internal representation by returning DefaultMeasurementModel.measurementMatrix"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.filter.DefaultMeasurementModel.getMeasurementNoise() may expose internal representation by returning DefaultMeasurementModel.measurementNoise"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.filter.DefaultProcessModel.getControlMatrix() may expose internal representation by returning DefaultProcessModel.controlMatrix"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.filter.DefaultProcessModel.getInitialErrorCovariance() may expose internal representation by returning DefaultProcessModel.initialErrorCovMatrix"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.filter.DefaultProcessModel.getInitialStateEstimate() may expose internal representation by returning DefaultProcessModel.initialStateEstimateVector"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.filter.DefaultProcessModel.getProcessNoise() may expose internal representation by returning DefaultProcessModel.processNoiseCovMatrix"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.filter.DefaultProcessModel.getStateTransitionMatrix() may expose internal representation by returning DefaultProcessModel.stateTransitionMatrix"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.fraction.AbstractFormat.getDenominatorFormat() may expose internal representation by returning AbstractFormat.denominatorFormat"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.fraction.AbstractFormat.getNumeratorFormat() may expose internal representation by returning AbstractFormat.numeratorFormat"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.fraction.ProperBigFractionFormat.getWholeFormat() may expose internal representation by returning ProperBigFractionFormat.wholeFormat"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.fraction.ProperFractionFormat.getWholeFormat() may expose internal representation by returning ProperFractionFormat.wholeFormat"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.geometry.VectorFormat.getFormat() may expose internal representation by returning VectorFormat.format"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.geometry.euclidean.oned.OrientedPoint.getLocation() may expose internal representation by returning OrientedPoint.location"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.geometry.euclidean.threed.FieldRotation.getQ0() may expose internal representation by returning FieldRotation.q0"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.geometry.euclidean.threed.FieldRotation.getQ1() may expose internal representation by returning FieldRotation.q1"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.geometry.euclidean.threed.FieldRotation.getQ2() may expose internal representation by returning FieldRotation.q2"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.geometry.euclidean.threed.FieldRotation.getQ3() may expose internal representation by returning FieldRotation.q3"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.geometry.euclidean.threed.FieldVector3D.getX() may expose internal representation by returning FieldVector3D.x"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.geometry.euclidean.threed.FieldVector3D.getY() may expose internal representation by returning FieldVector3D.y"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.geometry.euclidean.threed.FieldVector3D.getZ() may expose internal representation by returning FieldVector3D.z"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.geometry.euclidean.threed.Line.closestPoint(Line) may expose internal representation by returning Line.zero"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.geometry.euclidean.threed.Line.getDirection() may expose internal representation by returning Line.direction"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.geometry.euclidean.threed.Line.getOrigin() may expose internal representation by returning Line.zero"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.geometry.euclidean.threed.Plane.getNormal() may expose internal representation by returning Plane.w"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.geometry.euclidean.threed.Plane.getOrigin() may expose internal representation by returning Plane.origin"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.geometry.euclidean.threed.Plane.getU() may expose internal representation by returning Plane.u"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.geometry.euclidean.threed.Plane.getV() may expose internal representation by returning Plane.v"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.geometry.euclidean.threed.RotationOrder.getA1() may expose internal representation by returning RotationOrder.a1"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.geometry.euclidean.threed.RotationOrder.getA2() may expose internal representation by returning RotationOrder.a2"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.geometry.euclidean.threed.RotationOrder.getA3() may expose internal representation by returning RotationOrder.a3"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.geometry.euclidean.threed.Segment.getEnd() may expose internal representation by returning Segment.end"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.geometry.euclidean.threed.Segment.getStart() may expose internal representation by returning Segment.start"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.geometry.euclidean.threed.SphericalCoordinates.getCartesian() may expose internal representation by returning SphericalCoordinates.v"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.geometry.euclidean.twod.Segment.getEnd() may expose internal representation by returning Segment.end"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.geometry.euclidean.twod.Segment.getLine() may expose internal representation by returning Segment.line"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.geometry.euclidean.twod.Segment.getStart() may expose internal representation by returning Segment.start"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.geometry.partitioning.AbstractRegion.getTree(boolean) may expose internal representation by returning AbstractRegion.tree"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.geometry.partitioning.BSPTree.getMinus() may expose internal representation by returning BSPTree.minus"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.geometry.partitioning.BSPTree.getParent() may expose internal representation by returning BSPTree.parent"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.geometry.partitioning.BSPTree.getPlus() may expose internal representation by returning BSPTree.plus"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.geometry.partitioning.utilities.AVLTree$Node.getNext() may expose internal representation by returning AVLTree$Node.parent"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.geometry.partitioning.utilities.AVLTree$Node.getPrevious() may expose internal representation by returning AVLTree$Node.parent"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.linear.CholeskyDecomposition.getL() may expose internal representation by returning CholeskyDecomposition.cachedL"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.linear.CholeskyDecomposition.getLT() may expose internal representation by returning CholeskyDecomposition.cachedLT"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.linear.DefaultFieldMatrixChangingVisitor.end() may expose internal representation by returning DefaultFieldMatrixChangingVisitor.zero"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.linear.DefaultFieldMatrixPreservingVisitor.end() may expose internal representation by returning DefaultFieldMatrixPreservingVisitor.zero"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.linear.DefaultIterativeLinearSolverEvent.getResidual() may expose internal representation by returning DefaultIterativeLinearSolverEvent.r"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.linear.DefaultIterativeLinearSolverEvent.getRightHandSideVector() may expose internal representation by returning DefaultIterativeLinearSolverEvent.b"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.linear.DefaultIterativeLinearSolverEvent.getSolution() may expose internal representation by returning DefaultIterativeLinearSolverEvent.x"
"Math/1_buggy","Dodgy code Warning","EI","org.apache.commons.math3.linear.EigenDecomposition.getD() may expose internal representation by returning EigenDecomposition.cachedD"
