"Bug Id","Warning Type","Code","Warning"
"Mockito/1_buggy","Bad practice Warning","Eq","org.mockito.internal.creation.DelegatingMethod.equals(Object) checks for operand being a reflect.Method"
"Mockito/1_buggy","Bad practice Warning","Eq","org.mockito.internal.util.reflection.GenericMetadataSupport$WildCardBoundedType.equals(Object) checks for operand being a GenericMetadataSupport$TypeVarBoundedType"
"Mockito/1_buggy","Bad practice Warning","FS","Format string should use %n rather than \n in org.mockito.internal.invocation.SerializableMethod.getJavaMethod()"
"Mockito/1_buggy","Bad practice Warning","FS","Format string should use %n rather than \n in org.mockito.internal.invocation.SerializableMethod.getJavaMethod()"
"Mockito/1_buggy","Bad practice Warning","Nm","The class name org.mockito.exceptions.Discrepancy shadows the simple name of the superclass org.mockito.internal.reporting.Discrepancy"
"Mockito/1_buggy","Bad practice Warning","Nm","The class name org.mockito.exceptions.Pluralizer shadows the simple name of the superclass org.mockito.internal.reporting.Pluralizer"
"Mockito/1_buggy","Bad practice Warning","Nm","Class org.mockito.internal.stubbing.answers.ThrowsException is not derived from an Exception, even though it is named as such"
"Mockito/1_buggy","Bad practice Warning","Nm","The class name org.mockito.stubbing.answers.ReturnsElementsOf shadows the simple name of the superclass org.mockito.internal.stubbing.answers.ReturnsElementsOf"
"Mockito/1_buggy","Bad practice Warning","Se","Class org.mockito.internal.creation.bytebuddy.InterceptedInvocation$SuperMethod$FromCallable defines non-transient non-serializable instance field callable"
"Mockito/1_buggy","Bad practice Warning","Se","Class org.mockito.internal.creation.settings.CreationSettings defines non-transient non-serializable instance field invocationListeners"
"Mockito/1_buggy","Bad practice Warning","Se","org.mockito.internal.invocation.finder.AllInvocationsFinder$SequenceNumberComparator implements Comparator but not Serializable"
"Mockito/1_buggy","Bad practice Warning","Se","Class org.mockito.internal.invocation.realmethod.DefaultRealMethod defines non-transient non-serializable instance field methodProxy"
"Mockito/1_buggy","Bad practice Warning","Se","Class org.mockito.internal.stubbing.answers.AnswerReturnValuesAdapter defines non-transient non-serializable instance field returnValues"
"Mockito/1_buggy","Bad practice Warning","Se","Class org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs$ReturnsDeepStubsSerializationFallback defines non-transient non-serializable instance field returnTypeGenericMetadata"
"Mockito/1_buggy","Bad practice Warning","Se","Class org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues defines non-transient non-serializable instance field mockUtil"
