"Warning Type","Code","Warning"
"Bad practice Warning","DE","org.joda.time.tz.ZoneInfoProvider.loadZoneData(String) might ignore java.io.IOException"
"Bad practice Warning","Eq","org.joda.time.format.DateTimeParserBucket$SavedField defines compareTo(DateTimeParserBucket$SavedField) and uses Object.equals()"
"Bad practice Warning","HE","org.joda.time.LocalDateTime defines equals but not hashCode"
"Bad practice Warning","HE","org.joda.time.LocalTime defines equals but not hashCode"
"Bad practice Warning","HE","org.joda.time.tz.DateTimeZoneBuilder$DSTZone defines equals but not hashCode"
"Bad practice Warning","HE","org.joda.time.tz.DateTimeZoneBuilder$OfYear defines equals and uses Object.hashCode()"
"Bad practice Warning","HE","org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone defines equals but not hashCode"
"Bad practice Warning","HE","org.joda.time.tz.DateTimeZoneBuilder$Recurrence defines equals and uses Object.hashCode()"
"Bad practice Warning","RV","org.joda.time.format.DateTimeParserBucket.compareReverse(DurationField, DurationField) negates the return value of org.joda.time.DurationField.compareTo(Object)"
"Bad practice Warning","RV","Exceptional return value of java.io.File.mkdirs() ignored in org.joda.time.tz.ZoneInfoCompiler.compile(File, File[])"
"Bad practice Warning","Se","Class org.joda.time.chrono.GJChronology$LinkedDurationField defines non-transient non-serializable instance field iField"
"Bad practice Warning","Se","Class org.joda.time.tz.CachedDateTimeZone defines non-transient non-serializable instance field iInfoCache"
"Bad practice Warning","Se","Class org.joda.time.tz.DateTimeZoneBuilder$DSTZone defines non-transient non-serializable instance field iEndRecurrence"
"Bad practice Warning","Se","Class org.joda.time.tz.DateTimeZoneBuilder$DSTZone defines non-transient non-serializable instance field iStartRecurrence"
"Dodgy code Warning","Dm","Found reliance on default encoding in org.joda.time.tz.ZoneInfoCompiler.compile(File, File[]): new java.io.FileReader(File)"
"Internationalization Warning","EI","org.joda.time.DateMidnight$Property.getDateMidnight() may expose internal representation by returning DateMidnight$Property.iInstant"
"Internationalization Warning","EI","org.joda.time.DateMidnight$Property.getField() may expose internal representation by returning DateMidnight$Property.iField"
"Internationalization Warning","EI","org.joda.time.DateTime$Property.getDateTime() may expose internal representation by returning DateTime$Property.iInstant"
"Internationalization Warning","EI","org.joda.time.DateTime$Property.getField() may expose internal representation by returning DateTime$Property.iField"
"Internationalization Warning","EI","org.joda.time.LocalDate.getChronology() may expose internal representation by returning LocalDate.iChronology"
"Internationalization Warning","EI","org.joda.time.LocalDate$Property.getField() may expose internal representation by returning LocalDate$Property.iField"
"Internationalization Warning","EI","org.joda.time.LocalDateTime.getChronology() may expose internal representation by returning LocalDateTime.iChronology"
"Internationalization Warning","EI","org.joda.time.LocalDateTime$Property.getField() may expose internal representation by returning LocalDateTime$Property.iField"
"Internationalization Warning","EI","org.joda.time.LocalTime.getChronology() may expose internal representation by returning LocalTime.iChronology"
"Internationalization Warning","EI","org.joda.time.LocalTime$Property.getField() may expose internal representation by returning LocalTime$Property.iField"
"Internationalization Warning","EI","org.joda.time.MonthDay$Property.getMonthDay() may expose internal representation by returning MonthDay$Property.iBase"
"Internationalization Warning","EI","org.joda.time.MutableDateTime.getRoundingField() may expose internal representation by returning MutableDateTime.iRoundingField"
"Internationalization Warning","EI","org.joda.time.MutableDateTime$Property.add(int) may expose internal representation by returning MutableDateTime$Property.iInstant"
"Internationalization Warning","EI","org.joda.time.MutableDateTime$Property.add(long) may expose internal representation by returning MutableDateTime$Property.iInstant"
"Internationalization Warning","EI","org.joda.time.MutableDateTime$Property.addWrapField(int) may expose internal representation by returning MutableDateTime$Property.iInstant"
"Internationalization Warning","EI","org.joda.time.MutableDateTime$Property.getField() may expose internal representation by returning MutableDateTime$Property.iField"
"Internationalization Warning","EI","org.joda.time.MutableDateTime$Property.getMutableDateTime() may expose internal representation by returning MutableDateTime$Property.iInstant"
"Internationalization Warning","EI","org.joda.time.MutableDateTime$Property.roundCeiling() may expose internal representation by returning MutableDateTime$Property.iInstant"
"Internationalization Warning","EI","org.joda.time.MutableDateTime$Property.roundFloor() may expose internal representation by returning MutableDateTime$Property.iInstant"
"Internationalization Warning","EI","org.joda.time.MutableDateTime$Property.roundHalfCeiling() may expose internal representation by returning MutableDateTime$Property.iInstant"
"Internationalization Warning","EI","org.joda.time.MutableDateTime$Property.roundHalfEven() may expose internal representation by returning MutableDateTime$Property.iInstant"
"Internationalization Warning","EI","org.joda.time.MutableDateTime$Property.roundHalfFloor() may expose internal representation by returning MutableDateTime$Property.iInstant"
"Internationalization Warning","EI","org.joda.time.MutableDateTime$Property.set(int) may expose internal representation by returning MutableDateTime$Property.iInstant"
"Internationalization Warning","EI","org.joda.time.MutableDateTime$Property.set(String) may expose internal representation by returning MutableDateTime$Property.iInstant"
"Internationalization Warning","EI","org.joda.time.MutableDateTime$Property.set(String, Locale) may expose internal representation by returning MutableDateTime$Property.iInstant"
"Internationalization Warning","EI","org.joda.time.Partial.getChronology() may expose internal representation by returning Partial.iChronology"
"Internationalization Warning","EI","org.joda.time.TimeOfDay$Property.getTimeOfDay() may expose internal representation by returning TimeOfDay$Property.iTimeOfDay"
"Internationalization Warning","EI","org.joda.time.YearMonth$Property.getYearMonth() may expose internal representation by returning YearMonth$Property.iBase"
"Internationalization Warning","EI","org.joda.time.YearMonthDay$Property.getYearMonthDay() may expose internal representation by returning YearMonthDay$Property.iYearMonthDay"
"Internationalization Warning","EI","org.joda.time.base.BaseDateTime.getChronology() may expose internal representation by returning BaseDateTime.iChronology"
"Internationalization Warning","EI","org.joda.time.base.BaseInterval.getChronology() may expose internal representation by returning BaseInterval.iChronology"
"Internationalization Warning","EI","org.joda.time.base.BasePartial.getChronology() may expose internal representation by returning BasePartial.iChronology"
"Internationalization Warning","EI","org.joda.time.base.BasePeriod.getPeriodType() may expose internal representation by returning BasePeriod.iType"
"Internationalization Warning","EI","org.joda.time.chrono.AssembledChronology.centuries() may expose internal representation by returning AssembledChronology.iCenturies"
"Internationalization Warning","EI","org.joda.time.chrono.AssembledChronology.centuryOfEra() may expose internal representation by returning AssembledChronology.iCenturyOfEra"
"Internationalization Warning","EI","org.joda.time.chrono.AssembledChronology.clockhourOfDay() may expose internal representation by returning AssembledChronology.iClockhourOfDay"
"Internationalization Warning","EI","org.joda.time.chrono.AssembledChronology.clockhourOfHalfday() may expose internal representation by returning AssembledChronology.iClockhourOfHalfday"
"Internationalization Warning","EI","org.joda.time.chrono.AssembledChronology.dayOfMonth() may expose internal representation by returning AssembledChronology.iDayOfMonth"
"Internationalization Warning","EI","org.joda.time.chrono.AssembledChronology.dayOfWeek() may expose internal representation by returning AssembledChronology.iDayOfWeek"
"Internationalization Warning","EI","org.joda.time.chrono.AssembledChronology.dayOfYear() may expose internal representation by returning AssembledChronology.iDayOfYear"
"Internationalization Warning","EI","org.joda.time.chrono.AssembledChronology.days() may expose internal representation by returning AssembledChronology.iDays"
"Internationalization Warning","EI","org.joda.time.chrono.AssembledChronology.era() may expose internal representation by returning AssembledChronology.iEra"
"Internationalization Warning","EI","org.joda.time.chrono.AssembledChronology.eras() may expose internal representation by returning AssembledChronology.iEras"
"Internationalization Warning","EI","org.joda.time.chrono.AssembledChronology.halfdayOfDay() may expose internal representation by returning AssembledChronology.iHalfdayOfDay"
"Internationalization Warning","EI","org.joda.time.chrono.AssembledChronology.halfdays() may expose internal representation by returning AssembledChronology.iHalfdays"
"Internationalization Warning","EI","org.joda.time.chrono.AssembledChronology.hourOfDay() may expose internal representation by returning AssembledChronology.iHourOfDay"
"Internationalization Warning","EI","org.joda.time.chrono.AssembledChronology.hourOfHalfday() may expose internal representation by returning AssembledChronology.iHourOfHalfday"
"Internationalization Warning","EI","org.joda.time.chrono.AssembledChronology.hours() may expose internal representation by returning AssembledChronology.iHours"
"Internationalization Warning","EI","org.joda.time.chrono.AssembledChronology.millis() may expose internal representation by returning AssembledChronology.iMillis"
"Internationalization Warning","EI","org.joda.time.chrono.AssembledChronology.millisOfDay() may expose internal representation by returning AssembledChronology.iMillisOfDay"
"Internationalization Warning","EI","org.joda.time.chrono.AssembledChronology.millisOfSecond() may expose internal representation by returning AssembledChronology.iMillisOfSecond"
"Internationalization Warning","EI","org.joda.time.chrono.AssembledChronology.minuteOfDay() may expose internal representation by returning AssembledChronology.iMinuteOfDay"
"Internationalization Warning","EI","org.joda.time.chrono.AssembledChronology.minuteOfHour() may expose internal representation by returning AssembledChronology.iMinuteOfHour"
"Internationalization Warning","EI","org.joda.time.chrono.AssembledChronology.minutes() may expose internal representation by returning AssembledChronology.iMinutes"
"Internationalization Warning","EI","org.joda.time.chrono.AssembledChronology.monthOfYear() may expose internal representation by returning AssembledChronology.iMonthOfYear"
"Internationalization Warning","EI","org.joda.time.chrono.AssembledChronology.months() may expose internal representation by returning AssembledChronology.iMonths"
"Internationalization Warning","EI","org.joda.time.chrono.AssembledChronology.secondOfDay() may expose internal representation by returning AssembledChronology.iSecondOfDay"
"Internationalization Warning","EI","org.joda.time.chrono.AssembledChronology.secondOfMinute() may expose internal representation by returning AssembledChronology.iSecondOfMinute"
"Internationalization Warning","EI","org.joda.time.chrono.AssembledChronology.seconds() may expose internal representation by returning AssembledChronology.iSeconds"
"Internationalization Warning","EI","org.joda.time.chrono.AssembledChronology.weekOfWeekyear() may expose internal representation by returning AssembledChronology.iWeekOfWeekyear"
"Internationalization Warning","EI","org.joda.time.chrono.AssembledChronology.weeks() may expose internal representation by returning AssembledChronology.iWeeks"
"Internationalization Warning","EI","org.joda.time.chrono.AssembledChronology.weekyear() may expose internal representation by returning AssembledChronology.iWeekyear"
"Internationalization Warning","EI","org.joda.time.chrono.AssembledChronology.weekyearOfCentury() may expose internal representation by returning AssembledChronology.iWeekyearOfCentury"
"Internationalization Warning","EI","org.joda.time.chrono.AssembledChronology.weekyears() may expose internal representation by returning AssembledChronology.iWeekyears"
"Internationalization Warning","EI","org.joda.time.chrono.AssembledChronology.year() may expose internal representation by returning AssembledChronology.iYear"
"Internationalization Warning","EI","org.joda.time.chrono.AssembledChronology.yearOfCentury() may expose internal representation by returning AssembledChronology.iYearOfCentury"
"Internationalization Warning","EI","org.joda.time.chrono.AssembledChronology.yearOfEra() may expose internal representation by returning AssembledChronology.iYearOfEra"
"Internationalization Warning","EI","org.joda.time.chrono.AssembledChronology.years() may expose internal representation by returning AssembledChronology.iYears"
"Internationalization Warning","EI","org.joda.time.chrono.BuddhistChronology.withUTC() may expose internal representation by returning BuddhistChronology.INSTANCE_UTC"
"Internationalization Warning","EI","org.joda.time.chrono.CopticChronology.withUTC() may expose internal representation by returning CopticChronology.INSTANCE_UTC"
"Internationalization Warning","EI","org.joda.time.chrono.EthiopicChronology.withUTC() may expose internal representation by returning EthiopicChronology.INSTANCE_UTC"
"Internationalization Warning","EI","org.joda.time.chrono.GregorianChronology.withUTC() may expose internal representation by returning GregorianChronology.INSTANCE_UTC"
"Internationalization Warning","EI","org.joda.time.chrono.ISOChronology.withUTC() may expose internal representation by returning ISOChronology.INSTANCE_UTC"
"Internationalization Warning","EI","org.joda.time.chrono.IslamicChronology.withUTC() may expose internal representation by returning IslamicChronology.INSTANCE_UTC"
"Internationalization Warning","EI","org.joda.time.chrono.JulianChronology.withUTC() may expose internal representation by returning JulianChronology.INSTANCE_UTC"
"Internationalization Warning","EI","org.joda.time.chrono.LenientChronology.withUTC() may expose internal representation by returning LenientChronology.iWithUTC"
"Internationalization Warning","EI","org.joda.time.chrono.LimitChronology.getLowerLimit() may expose internal representation by returning LimitChronology.iLowerLimit"
"Internationalization Warning","EI","org.joda.time.chrono.LimitChronology.getUpperLimit() may expose internal representation by returning LimitChronology.iUpperLimit"
"Internationalization Warning","EI","org.joda.time.chrono.LimitChronology.withZone(DateTimeZone) may expose internal representation by returning LimitChronology.iWithUTC"
"Internationalization Warning","EI","org.joda.time.chrono.StrictChronology.withUTC() may expose internal representation by returning StrictChronology.iWithUTC"
"Internationalization Warning","EI","org.joda.time.field.DecoratedDateTimeField.getWrappedField() may expose internal representation by returning DecoratedDateTimeField.iField"
"Internationalization Warning","EI","org.joda.time.field.DecoratedDurationField.getWrappedField() may expose internal representation by returning DecoratedDurationField.iField"
"Internationalization Warning","EI","org.joda.time.field.DelegatedDateTimeField.getWrappedField() may expose internal representation by returning DelegatedDateTimeField.iField"
"Internationalization Warning","EI","org.joda.time.field.DelegatedDurationField.getWrappedField() may expose internal representation by returning DelegatedDurationField.iField"
"Internationalization Warning","EI","org.joda.time.field.DividedDateTimeField.getDurationField() may expose internal representation by returning DividedDateTimeField.iDurationField"
"Internationalization Warning","EI","org.joda.time.field.ImpreciseDateTimeField.getDurationField() may expose internal representation by returning ImpreciseDateTimeField.iDurationField"
"Internationalization Warning","EI","org.joda.time.field.PreciseDateTimeField.getRangeDurationField() may expose internal representation by returning PreciseDateTimeField.iRangeField"
"Internationalization Warning","EI","org.joda.time.field.PreciseDurationDateTimeField.getDurationField() may expose internal representation by returning PreciseDurationDateTimeField.iUnitField"
"Internationalization Warning","EI","org.joda.time.field.RemainderDateTimeField.getRangeDurationField() may expose internal representation by returning RemainderDateTimeField.iRangeField"
"Internationalization Warning","EI","org.joda.time.field.UnsupportedDateTimeField.getDurationField() may expose internal representation by returning UnsupportedDateTimeField.iDurationField"
"Internationalization Warning","EI","org.joda.time.format.DateTimeFormatter.getChronolgy() may expose internal representation by returning DateTimeFormatter.iChrono"
"Internationalization Warning","EI","org.joda.time.format.DateTimeFormatter.getChronology() may expose internal representation by returning DateTimeFormatter.iChrono"
"Internationalization Warning","EI","org.joda.time.format.DateTimeFormatter.getZone() may expose internal representation by returning DateTimeFormatter.iZone"
"Internationalization Warning","EI","org.joda.time.format.DateTimeParserBucket.getChronology() may expose internal representation by returning DateTimeParserBucket.iChrono"
"Internationalization Warning","EI","org.joda.time.format.DateTimeParserBucket.getZone() may expose internal representation by returning DateTimeParserBucket.iZone"
"Internationalization Warning","EI","org.joda.time.format.PeriodFormatter.getParseType() may expose internal representation by returning PeriodFormatter.iParseType"
"Internationalization Warning","EI","org.joda.time.tz.CachedDateTimeZone.getUncachedZone() may expose internal representation by returning CachedDateTimeZone.iZone"
"Internationalization Warning","EI2","new org.joda.time.Partial(DateTimeFieldType[], int[], Chronology) may expose internal representation by storing an externally mutable object into Partial.iTypes"
"Internationalization Warning","EI2","new org.joda.time.Partial(DateTimeFieldType[], int[], Chronology) may expose internal representation by storing an externally mutable object into Partial.iValues"
"Internationalization Warning","EI2","org.joda.time.chrono.LenientChronology.withUTC() may expose internal representation by storing an externally mutable object into LenientChronology.iWithUTC"
"Internationalization Warning","EI2","org.joda.time.chrono.StrictChronology.withUTC() may expose internal representation by storing an externally mutable object into StrictChronology.iWithUTC"
"Internationalization Warning","EI2","new org.joda.time.field.DecoratedDurationField(DurationField, DurationFieldType) may expose internal representation by storing an externally mutable object into DecoratedDurationField.iField"
"Internationalization Warning","EI2","new org.joda.time.field.DelegatedDateTimeField(DateTimeField, DateTimeFieldType) may expose internal representation by storing an externally mutable object into DelegatedDateTimeField.iField"
"Internationalization Warning","EI2","new org.joda.time.field.PreciseDateTimeField(DateTimeFieldType, DurationField, DurationField) may expose internal representation by storing an externally mutable object into PreciseDateTimeField.iRangeField"
