,Bad practice Warnings,Correctness Warnings,Dodgy code Warnings,Experimental Warnings,Internationalization Warnings,Malicious code vulnerability Warnings,Multithreaded correctness Warnings,Performance Warnings,Total,Density*
Chart/1_buggy,192,17,40,0,0,398,11,8,666,10.25
Chart/2_buggy,192,16,39,0,0,397,11,8,663,10.2
Chart/3_buggy,193,16,39,0,0,397,11,8,664,10.22
Chart/4_buggy,184,17,37,0,0,383,11,8,640,10.05
Chart/5_buggy,184,15,37,0,0,358,11,8,613,10.22
Chart/6_buggy,213,10,43,0,0,350,11,7,634,11.19
Chart/7_buggy,216,10,43,0,0,350,11,7,637,11.26
Chart/8_buggy,216,10,43,0,0,350,11,7,637,11.26
Chart/9_buggy,216,10,43,0,0,354,11,7,641,11.34
Chart/10_buggy,216,10,43,0,0,360,11,7,647,11.44
Chart/11_buggy,216,10,42,0,0,360,11,7,646,11.42
Chart/12_buggy,216,10,42,0,0,360,11,7,646,11.42
Chart/13_buggy,216,10,42,0,0,360,11,7,646,11.44
Chart/14_buggy,217,10,42,0,0,360,11,7,647,11.46
Chart/15_buggy,222,10,42,0,0,360,11,7,652,11.59
Chart/16_buggy,222,10,42,0,0,360,11,7,652,11.59
Chart/17_buggy,225,9,42,0,0,360,11,7,654,11.68
Chart/18_buggy,225,9,42,0,0,360,11,7,654,11.68
Chart/19_buggy,232,9,45,0,0,360,11,8,665,11.92
Chart/20_buggy,228,9,45,0,0,358,11,8,659,11.87
Chart/21_buggy,228,9,45,0,0,358,11,8,659,11.9
Chart/22_buggy,228,9,46,0,0,358,11,8,660,11.92
Chart/23_buggy,228,9,45,0,0,358,11,8,659,11.94
Chart/24_buggy,228,9,47,0,0,358,11,8,661,11.99
Chart/25_buggy,228,9,47,0,0,358,11,8,661,12.01
Chart/26_buggy,227,10,46,0,0,357,11,7,658,12.11
Cli/1_buggy,1,0,1,0,1,4,0,1,8,7.15
Cli/2_buggy,1,0,1,0,1,4,0,0,7,6.27
Cli/3_buggy,1,0,1,0,1,4,0,0,7,6.22
Cli/4_buggy,1,0,1,0,1,4,0,0,7,6.22
Cli/5_buggy,1,0,1,0,1,4,0,0,7,6.21
Cli/7_buggy,10,0,1,0,1,42,0,2,56,21.1
Cli/8_buggy,1,0,1,0,1,4,0,0,7,6.12
Cli/9_buggy,1,0,1,0,1,4,0,0,7,6.08
Cli/10_buggy,1,0,1,0,1,4,0,0,7,6.03
Cli/11_buggy,1,0,0,0,1,4,0,0,6,5.29
Cli/12_buggy,1,0,0,0,1,4,0,0,6,5.34
Cli/13_buggy,10,0,0,0,1,42,0,2,55,20.72
Cli/14_buggy,10,0,0,0,1,42,0,2,55,20.44
Cli/15_buggy,10,0,0,0,1,42,0,2,55,20.45
Cli/16_buggy,10,0,0,0,1,42,0,2,55,20.41
Cli/17_buggy,1,0,0,0,1,12,0,0,14,12.1
Cli/18_buggy,1,0,0,0,1,12,0,0,14,12.11
Cli/19_buggy,1,0,0,0,1,12,0,0,14,12.13
Cli/20_buggy,1,0,0,0,1,12,0,0,14,12.14
Cli/21_buggy,10,0,0,0,1,44,0,2,57,20.97
Cli/22_buggy,1,0,0,0,1,12,0,0,14,12.12
Cli/23_buggy,1,0,0,0,1,12,0,0,14,12.04
Cli/24_buggy,1,0,0,0,1,12,0,0,14,12.04
Cli/25_buggy,1,0,0,0,1,12,0,0,14,12.04
