Programs/bug_id,Bad practice Warnings,Correctness Warnings,Dodgy code Warnings,Experimental Warnings,Internationalization Warnings,Malicious code vulnerability Warnings,Multithreaded correctness Warnings,Performance Warnings,Total,Density*
Chart/1_buggy,192,16,46,0,0,66,11,8,339,5.22
Chart/2_buggy,192,15,45,0,0,66,11,8,337,5.19
Chart/3_buggy,193,15,45,0,0,66,11,8,338,5.2
Chart/4_buggy,184,16,43,0,0,66,11,8,328,5.15
Chart/5_buggy,184,14,43,0,0,66,11,8,326,5.43
Chart/6_buggy,213,9,48,0,0,66,11,7,354,6.25
Chart/7_buggy,216,9,48,0,0,66,11,7,357,6.31
Chart/8_buggy,216,9,48,0,0,66,11,7,357,6.31
Chart/9_buggy,216,9,48,0,0,70,11,7,361,6.38
Chart/10_buggy,216,9,48,0,0,76,11,7,367,6.49
Chart/11_buggy,216,9,47,0,0,76,11,7,366,6.47
Chart/12_buggy,216,9,47,0,0,76,11,7,366,6.47
Chart/13_buggy,216,9,47,0,0,76,11,7,366,6.48
Chart/14_buggy,217,9,47,0,0,76,11,7,367,6.5
Chart/15_buggy,222,9,47,0,0,76,11,7,372,6.61
Chart/16_buggy,222,9,47,0,0,76,11,7,372,6.61
Chart/17_buggy,225,9,47,0,0,76,11,7,375,6.7
Chart/18_buggy,225,9,47,0,0,76,11,7,375,6.7
Chart/19_buggy,232,9,50,0,0,76,11,8,386,6.92
Chart/20_buggy,228,9,50,0,0,76,11,8,382,6.88
Chart/21_buggy,228,9,50,0,0,76,11,8,382,6.9
Chart/22_buggy,228,9,51,0,0,76,11,8,383,6.92
Chart/23_buggy,228,9,50,0,0,76,11,8,382,6.92
Chart/24_buggy,228,9,52,0,0,76,11,8,384,6.96
Chart/25_buggy,228,9,52,0,0,76,11,8,384,6.98
Chart/26_buggy,227,10,51,0,0,77,11,7,383,7.05
Cli/1_buggy,1,0,1,0,1,0,0,1,4,3.57
Cli/2_buggy,1,0,1,0,1,0,0,0,3,2.69
Cli/3_buggy,1,0,1,0,1,0,0,0,3,2.67
Cli/4_buggy,1,0,1,0,1,0,0,0,3,2.66
Cli/5_buggy,1,0,1,0,1,0,0,0,3,2.66
Cli/7_buggy,10,0,1,0,1,6,0,2,20,7.54
Cli/8_buggy,1,0,1,0,1,0,0,0,3,2.62
Cli/9_buggy,1,0,1,0,1,0,0,0,3,2.61
Cli/10_buggy,1,0,1,0,1,0,0,0,3,2.58
Cli/11_buggy,1,0,0,0,1,0,0,0,2,1.76
Cli/12_buggy,1,0,0,0,1,0,0,0,2,1.78
Cli/13_buggy,10,0,0,0,1,6,0,2,19,7.16
Cli/14_buggy,10,0,0,0,1,6,0,2,19,7.06
Cli/15_buggy,10,0,0,0,1,6,0,2,19,7.07
Cli/16_buggy,10,0,0,0,1,6,0,2,19,7.05
Cli/17_buggy,1,0,0,0,1,0,0,0,2,1.73
Cli/18_buggy,1,0,0,0,1,0,0,0,2,1.73
Cli/19_buggy,1,0,0,0,1,0,0,0,2,1.73
Cli/20_buggy,1,0,0,0,1,0,0,0,2,1.73
Cli/21_buggy,10,0,0,0,1,6,0,2,19,6.99
Cli/22_buggy,1,0,0,0,1,0,0,0,2,1.73
Cli/23_buggy,1,0,0,0,1,0,0,0,2,1.72
Cli/24_buggy,1,0,0,0,1,0,0,0,2,1.72
Cli/25_buggy,1,0,0,0,1,0,0,0,2,1.72
Cli/26_buggy,1,0,0,0,1,0,0,0,2,1.72
Cli/27_buggy,1,0,0,0,1,0,0,0,2,1.65
Cli/28_buggy,1,0,0,0,1,0,0,0,2,1.4
Cli/29_buggy,1,0,0,0,1,0,0,0,2,1.38
Cli/30_buggy,1,0,0,0,1,0,0,0,2,1.37
Cli/31_buggy,1,0,0,0,1,0,0,0,2,1.36
Cli/32_buggy,1,0,0,0,1,0,0,0,2,1.37
Cli/33_buggy,1,0,0,0,1,0,0,0,2,1.37
Cli/34_buggy,1,0,0,0,1,0,0,0,2,1.36
Cli/35_buggy,0,0,0,0,1,0,0,0,1,0.65
Cli/36_buggy,0,0,0,0,1,0,0,0,1,0.64
Cli/37_buggy,0,0,0,0,1,0,0,0,1,0.64
Cli/38_buggy,0,0,0,0,1,0,0,0,1,0.64
Cli/39_buggy,0,0,0,0,1,0,0,0,1,0.62
Cli/40_buggy,0,0,0,0,1,0,0,0,1,0.62
Closure/1_buggy,60,20,116,4,13,1,0,40,254,3.96
Closure/2_buggy,60,20,117,4,13,1,0,40,255,3.98
Closure/3_buggy,60,20,117,4,13,1,1,40,256,3.99
Closure/4_buggy,60,20,117,4,13,1,1,40,256,3.99
Closure/5_buggy,60,20,114,4,13,2,1,40,254,3.98
Closure/6_buggy,61,20,114,4,13,13,1,39,265,4.15
