bug.id,project.id,project.name,project.vcs,project.repository,revision.id.buggy,revision.id.fixed,report.id,report.url
1,Chart,jfreechart,Vcs::Svn,file:///home/tyd/study/dataset/defects4j/project_repos/jfreechart/trunk,2264,2266,983,https://sourceforge.net/p/jfreechart/bugs/983
2,Chart,jfreechart,Vcs::Svn,file:///home/tyd/study/dataset/defects4j/project_repos/jfreechart/trunk,2240,2242,959,https://sourceforge.net/p/jfreechart/bugs/959
3,Chart,jfreechart,Vcs::Svn,file:///home/tyd/study/dataset/defects4j/project_repos/jfreechart/trunk,2225,2227,UNKNOWN,UNKNOWN
4,Chart,jfreechart,Vcs::Svn,file:///home/tyd/study/dataset/defects4j/project_repos/jfreechart/trunk,2182,2183,UNKNOWN,UNKNOWN
5,Chart,jfreechart,Vcs::Svn,file:///home/tyd/study/dataset/defects4j/project_repos/jfreechart/trunk,1695,1696,862,https://sourceforge.net/p/jfreechart/bugs/862
6,Chart,jfreechart,Vcs::Svn,file:///home/tyd/study/dataset/defects4j/project_repos/jfreechart/trunk,1164,1166,UNKNOWN,UNKNOWN
7,Chart,jfreechart,Vcs::Svn,file:///home/tyd/study/dataset/defects4j/project_repos/jfreechart/trunk,1086,1087,UNKNOWN,UNKNOWN
8,Chart,jfreechart,Vcs::Svn,file:///home/tyd/study/dataset/defects4j/project_repos/jfreechart/trunk,1084,1085,UNKNOWN,UNKNOWN
9,Chart,jfreechart,Vcs::Svn,file:///home/tyd/study/dataset/defects4j/project_repos/jfreechart/trunk,1082,1083,818,https://sourceforge.net/p/jfreechart/bugs/818
10,Chart,jfreechart,Vcs::Svn,file:///home/tyd/study/dataset/defects4j/project_repos/jfreechart/trunk,1064,1065,UNKNOWN,UNKNOWN
11,Chart,jfreechart,Vcs::Svn,file:///home/tyd/study/dataset/defects4j/project_repos/jfreechart/trunk,1024,1025,868,https://sourceforge.net/p/jfreechart/bugs/868
12,Chart,jfreechart,Vcs::Svn,file:///home/tyd/study/dataset/defects4j/project_repos/jfreechart/trunk,846,852,213,https://sourceforge.net/p/jfreechart/patches/213
13,Chart,jfreechart,Vcs::Svn,file:///home/tyd/study/dataset/defects4j/project_repos/jfreechart/trunk,817,822,UNKNOWN,UNKNOWN
14,Chart,jfreechart,Vcs::Svn,file:///home/tyd/study/dataset/defects4j/project_repos/jfreechart/trunk,809,811,UNKNOWN,UNKNOWN
15,Chart,jfreechart,Vcs::Svn,file:///home/tyd/study/dataset/defects4j/project_repos/jfreechart/trunk,747,749,UNKNOWN,UNKNOWN
16,Chart,jfreechart,Vcs::Svn,file:///home/tyd/study/dataset/defects4j/project_repos/jfreechart/trunk,741,743,834,https://sourceforge.net/p/jfreechart/bugs/834
17,Chart,jfreechart,Vcs::Svn,file:///home/tyd/study/dataset/defects4j/project_repos/jfreechart/trunk,621,622,803,https://sourceforge.net/p/jfreechart/bugs/803
18,Chart,jfreechart,Vcs::Svn,file:///home/tyd/study/dataset/defects4j/project_repos/jfreechart/trunk,620,621,UNKNOWN,UNKNOWN
19,Chart,jfreechart,Vcs::Svn,file:///home/tyd/study/dataset/defects4j/project_repos/jfreechart/trunk,430,434,UNKNOWN,UNKNOWN
20,Chart,jfreechart,Vcs::Svn,file:///home/tyd/study/dataset/defects4j/project_repos/jfreechart/trunk,281,283,UNKNOWN,UNKNOWN
21,Chart,jfreechart,Vcs::Svn,file:///home/tyd/study/dataset/defects4j/project_repos/jfreechart/trunk,227,231,UNKNOWN,UNKNOWN
22,Chart,jfreechart,Vcs::Svn,file:///home/tyd/study/dataset/defects4j/project_repos/jfreechart/trunk,225,227,UNKNOWN,UNKNOWN
23,Chart,jfreechart,Vcs::Svn,file:///home/tyd/study/dataset/defects4j/project_repos/jfreechart/trunk,209,210,UNKNOWN,UNKNOWN
24,Chart,jfreechart,Vcs::Svn,file:///home/tyd/study/dataset/defects4j/project_repos/jfreechart/trunk,188,190,UNKNOWN,UNKNOWN
25,Chart,jfreechart,Vcs::Svn,file:///home/tyd/study/dataset/defects4j/project_repos/jfreechart/trunk,162,164,UNKNOWN,UNKNOWN
26,Chart,jfreechart,Vcs::Svn,file:///home/tyd/study/dataset/defects4j/project_repos/jfreechart/trunk,102,103,UNKNOWN,UNKNOWN
