bug.id,project.id,project.name,project.vcs,project.repository,revision.id.buggy,revision.id.fixed,report.id,report.url
1,Csv,commons-csv,Vcs::Git,/home/tyd/study/dataset/defects4j/project_repos/commons-csv.git,0833f45bffd40f44ba6f294d84e9bac8a9ba0a37,de1838ea067f3fbc4c7c21b9eeae077c739ecb73,CSV-75,https://issues.apache.org/jira/browse/CSV-75
2,Csv,commons-csv,Vcs::Git,/home/tyd/study/dataset/defects4j/project_repos/commons-csv.git,5744ee8a1698687fe4acc0c269cbbbb1e234b06d,a0d975933d6fe9eb5f359088de43508c1d3109bf,CSV-96,https://issues.apache.org/jira/browse/CSV-96
3,Csv,commons-csv,Vcs::Git,/home/tyd/study/dataset/defects4j/project_repos/commons-csv.git,e31980892ce9873047db98ab8ef1b3259607b988,2c6120826245f89fedf2f936ab4a0c3edd8717f3,CSV-58,https://issues.apache.org/jira/browse/CSV-58
4,Csv,commons-csv,Vcs::Git,/home/tyd/study/dataset/defects4j/project_repos/commons-csv.git,2b5f84ede12cfadd7946ffb07a56709b8322a02f,22601f647f2ce9a05fa4ce20ea356492c670940c,CSV-100,https://issues.apache.org/jira/browse/CSV-100
5,Csv,commons-csv,Vcs::Git,/home/tyd/study/dataset/defects4j/project_repos/commons-csv.git,bf8f23c3104a137cb42e13bd69b10321cdf92135,73cc5246cf789db8f459e2f539831b6e91bedd26,CSV-106,https://issues.apache.org/jira/browse/CSV-106
6,Csv,commons-csv,Vcs::Git,/home/tyd/study/dataset/defects4j/project_repos/commons-csv.git,a84668e0eafc96b88fe133cf4225a586986a5255,9f03b06a1ec8cb2cb64aec6068d2a6c1f663fbc9,CSV-111,https://issues.apache.org/jira/browse/CSV-111
7,Csv,commons-csv,Vcs::Git,/home/tyd/study/dataset/defects4j/project_repos/commons-csv.git,c84328e64a226304d277be6164b85351502edd94,ce4e72701b1ad4caabc3bd668bd058fff082f2b6,CSV-112,https://issues.apache.org/jira/browse/CSV-112
8,Csv,commons-csv,Vcs::Git,/home/tyd/study/dataset/defects4j/project_repos/commons-csv.git,692a1e362dfab949006d3419d1addbfe12552c73,35d101c2adecd51730f88e43941d85d16034886f,CSV-114,https://issues.apache.org/jira/browse/CSV-114
9,Csv,commons-csv,Vcs::Git,/home/tyd/study/dataset/defects4j/project_repos/commons-csv.git,0331565fbaf33fab24bfd588948e653475e795d9,2480dffa6d8343b189c6fb57b88b325c45f0b83f,CSV-118,https://issues.apache.org/jira/browse/CSV-118
10,Csv,commons-csv,Vcs::Git,/home/tyd/study/dataset/defects4j/project_repos/commons-csv.git,65f110ec14b9e7f202bb1a696c4c58560cfca48c,1282503fb97d621b4225bd031757adbfada66181,CSV-120,https://issues.apache.org/jira/browse/CSV-120
11,Csv,commons-csv,Vcs::Git,/home/tyd/study/dataset/defects4j/project_repos/commons-csv.git,d3afa156e4ddf8ec76847504988e7979146d9fd6,b67524da7fd146634c7112b23e95d1d45c398b82,CSV-122,https://issues.apache.org/jira/browse/CSV-122
12,Csv,commons-csv,Vcs::Git,/home/tyd/study/dataset/defects4j/project_repos/commons-csv.git,bc504117fceb2c254eea5158a62de54c80a5d81d,c81ad0328eefb438cc875b9c9f081be93f9fdcc2,CSV-128,https://issues.apache.org/jira/browse/CSV-128
13,Csv,commons-csv,Vcs::Git,/home/tyd/study/dataset/defects4j/project_repos/commons-csv.git,913e4a8b97fc4ef6a860cd94a996442ec86cc3a9,f8b80e83417c3c7eeed1282118f64fa0e85c4787,CSV-168,https://issues.apache.org/jira/browse/CSV-168
14,Csv,commons-csv,Vcs::Git,/home/tyd/study/dataset/defects4j/project_repos/commons-csv.git,1023690dc284afaf380b0cf3eb74c411e0663465,190390bf5dd83d6137ca3045902fcecbeafa3227,CSV-171,https://issues.apache.org/jira/browse/CSV-171
15,Csv,commons-csv,Vcs::Git,/home/tyd/study/dataset/defects4j/project_repos/commons-csv.git,e76c4d809cf2b39a9d7fe831b63e60891fe47f55,8b3de71fd99d0fa07cb6a3a35b583bbb170aab66,CSV-219,https://issues.apache.org/jira/browse/CSV-219
16,Csv,commons-csv,Vcs::Git,/home/tyd/study/dataset/defects4j/project_repos/commons-csv.git,33f662b219b439af5134de4553a1bb9485136999,f368f64fa7f9acdcc01084f676e8b9c2b86f946e,CSV-224,https://issues.apache.org/jira/browse/CSV-224
